#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3098.91206323026      All      -0.05903538874040007       0.05907467196593075       0.27289036092675995        0.05065017594569933        
Zeropoint     AB|SDSS|SDSS_g            4074.9071309579385    All      -0.9584753018359806        0.582009742543832         -0.6224059864425914        0.4740115388394715         
Zeropoint     AB|SDSS|SDSS_i            6457.111772924387     All      1.0057404483261927         -0.07986694331112432      -0.5019467612060124        -0.37601762147314033       
Zeropoint     AB|SDSS|SDSS_r            5324.685453764387     All      0.9076950044542943         0.43752931771319226       0.7463148692093288         -0.11984382725062671       
Zeropoint     AB|SDSS|SDSS_z            7676.967641869689     All      0.09864367223335965        0.0013947355311572096     0.11196001627599428        -0.026680916766251214      
Check         All|All|All               All                   All      0.9945684344374659         1.0001415244429879        0.0068124987634792245      0.002119349295152617       
Lambda        AB|SDSS|SDSS_u            3098.91206323026      All      -4.673722343171875e-05     4.1797504032232326e-05    0.00019406776745808794     3.749902658166421e-05      
Lambda        AB|SDSS|SDSS_g            4074.9071309579385    All      -0.0008783531476080768     0.0003014199797085358     -0.0018607889798860839     0.0003012524550723841      
Lambda        AB|SDSS|SDSS_i            6457.111772924387     All      -0.00036695513948676955    2.5432656322985417e-05    -3.3084528177677786e-05    0.00012633720372945054     
Lambda        AB|SDSS|SDSS_r            5324.685453764387     All      0.000309937652193792       0.00011192501134710816    0.00033638913955979876     -4.9487729227033036e-05    
Lambda        AB|SDSS|SDSS_z            7676.967641869689     All      -9.62520225664879e-07      4.610667228653258e-06     4.554140274991258e-05      3.847674146923831e-06      
MWEBV         All|All|All               All                   All      -0.6970426711239015        -3.3313057890719477       0.2652613428422823         -0.8462287667682911        
Redshift      All|All|All               All                   All      7.169054745387403          -0.88605633497707         -0.0545886904946509        -2.6262507266977986        
