#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3199.0582511769226    All      -0.09270690231742515      0.05182404702015475       0.15762892285449137       0.05411273998978672       
Zeropoint     AB|SDSS|SDSS_z            7925.060852853456     All      0.13900272472304342       -0.017245982521174597     0.17436392963918745       -0.04311428302399001      
Zeropoint     AB|SDSS|SDSS_r            5496.760988445321     All      0.7404909666972446        0.4345537127374399        -1.0165208310495943       -0.14501648462983685      
Zeropoint     AB|SDSS|SDSS_i            6665.783434465447     All      0.9768393399725201        -0.07473410912481881      1.0789294765927382        -0.2943844009133986       
Zeropoint     AB|SDSS|SDSS_g            4206.594125320961     All      -0.770766017281831        0.6041603157408204        -0.3757723387530776       0.43108974677963513       
Check         All|All|All               All                   All      0.9928601117935518        0.9985579838524217        0.01862915928374509       0.002687318202196365      
Lambda        AB|SDSS|SDSS_u            3199.0582511769226    All      -7.249999155684959e-05    3.551790972362498e-05     9.520375850236059e-05     3.9433490617360906e-05    
Lambda        AB|SDSS|SDSS_z            7925.060852853456     All      1.1752004366408912e-05    -2.426327443416546e-06    7.723541471124928e-06     -4.273682940808255e-06    
Lambda        AB|SDSS|SDSS_r            5496.760988445321     All      4.849500999755087e-05     3.935643291820295e-05     -0.0017014168501874997    -7.890315490392034e-05    
Lambda        AB|SDSS|SDSS_i            6665.783434465447     All      -0.0004063267652539752    3.253710558638073e-05     -0.0006766054589574833    0.00011275860682839762    
Lambda        AB|SDSS|SDSS_g            4206.594125320961     All      -0.0006823026848923911    0.00032257260658369725    -0.0011497884287053712    0.0002760111650630139     
MWEBV         All|All|All               All                   All      -0.7922781825593614       -3.465917637948124        0.3699567751928923        -0.8543828590186764       
Redshift      All|All|All               All                   All      2.768285537596527         -0.21080343957233794      3.1443031738586535        -0.8300714795929087       
