#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3199.0582511769226    All      -0.07390385854152272       0.043028623824703516      0.19893291914201242       0.04696621898654135       
Zeropoint     AB|SDSS|SDSS_z            7925.060852853456     All      0.16513760847415138        -0.022386179776390236     0.23265876598204713       -0.050700175019870085     
Zeropoint     AB|SDSS|SDSS_r            5496.760988445321     All      0.7024688845612872         0.4397513724100577        -1.408666218636635        -0.1484380404249018       
Zeropoint     AB|SDSS|SDSS_i            6665.783434465447     All      0.9911834556544868         -0.10276394931807431      1.0486895225389692        -0.30953646266603335      
Zeropoint     AB|SDSS|SDSS_g            4206.594125320961     All      -0.7914038137644279        0.6426221900685647        -0.06192350325523988      0.46434608595668564       
Check         All|All|All               All                   All      0.9934822763839747         1.0002520572088613        0.009691485771153856      0.0026376268324217467     
Lambda        AB|SDSS|SDSS_u            3199.0582511769226    All      -5.351017765038333e-05     3.048823253167008e-05     0.0001496789953009968     3.404053177142996e-05     
Lambda        AB|SDSS|SDSS_z            7925.060852853456     All      2.043481428429831e-05      -2.578160920205895e-06    5.141260877469469e-05     -5.201774528459619e-06    
Lambda        AB|SDSS|SDSS_r            5496.760988445321     All      3.848457909516072e-05      8.680013910757441e-05     -0.002108271904505402     -7.834452472469916e-05    
Lambda        AB|SDSS|SDSS_i            6665.783434465447     All      -0.00046453057388540155    4.742842065527762e-05     -0.0008334634720470854    0.00012956824067434153    
Lambda        AB|SDSS|SDSS_g            4206.594125320961     All      -0.0007018331258050981     0.00036219092665773283    -0.0009767224209507252    0.0003030010035154989     
MWEBV         All|All|All               All                   All      -0.7345081731992651        -3.4971948429678434       0.35722490539869567       -0.8839566311820708       
Redshift      All|All|All               All                   All      3.0243517014843104         -0.5415946363248381       3.320759421141067         -1.0133557971051539       
