#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.5275483776148793        0.32727305950421837        -0.09180615898497335      0.2743465776345786         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.30590720978562413       0.11566015379420591        -0.05220647299514071      0.13498862435814196        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      0.3127040944851549         -0.04364991681748975       0.11724874197693962       -0.11084395232957782       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      1.0739298386001788         -0.06650680070707793       -0.023906783466073396     -0.37254458261957946       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.6849372630790368         0.21577964705823405        -0.020793773005849617     -0.15374800095198832       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -0.2439752816358285        0.4496162418843319         0.07201300928027655       0.22913918755425353        
Check         All|All|All                              All                   All      0.9941403271280387         0.9981723847164226         0.0005485628051791064     0.001337853645828474       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.0003286924240213969     0.00011807394288319783     -0.000457600678461827     0.00012510588728186463     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.0005059059456285595     0.0001306525541365279      -0.0001041053972716635    0.00020270229978464806     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      -6.603265768644111e-05     7.5446591454409995e-06     -0.0001316136657552547    1.809323929101375e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      -0.00021508524767290823    -1.7936543564850643e-06    -0.0006666511045429378    3.9726512050176124e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.00016353509979569926     6.001818655209225e-05      -0.0011402524553120333    -8.460309433920378e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -0.00010815025692112137    -7.898694377032845e-05     -0.0006172431222344707    -1.8045275112485196e-05    
MWEBV         All|All|All                              All                   All      -1.0706634919296736        -3.990880027441346         -0.01249406219624178      -0.9517681504992045        
Redshift      All|All|All                              All                   All      6.471381149294416          0.19288633334726413        7.706305219462231         -1.701215309733168         
