#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3454.633680451833    All      -0.5298418130707561        0.23513275958002566        0.154134217653442          0.2560556874492845        
Zeropoint     AB|PS|PS_i                5313.789111153464    All      1.1896182436515261         0.5006102977308302         1.3844963279448566         -0.16264884331995133      
Zeropoint     AB|PS|PS_z                6106.840289526391    All      0.9708020854535182         0.12832867671566106        0.6750067654439043         -0.2442988540299812       
Zeropoint     AB|PS|PS_r                4387.15025319925     All      -0.6324004131785537        0.13620438559485137        -2.195574435260274         0.15238146617027604       
Check         All|All|All               All                  All      0.9981781028557347         1.0002761196213683         0.018062875781928778       0.0014894562696279867     
Lambda        AB|PS|PS_g                3454.633680451833    All      -0.0006802432330827696     0.00020043619132861467     -0.0004208797161601677     0.00026808433332164213    
Lambda        AB|PS|PS_i                5313.789111153464    All      -0.00016195893188649692    -0.0001367778362745698     -0.0019196229165978948     -7.746164298435978e-05    
Lambda        AB|PS|PS_z                6106.840289526391    All      -0.00021530037178577014    -6.48930251993449e-05      -0.0004200623924669684     3.024716573890898e-05     
Lambda        AB|PS|PS_r                4387.15025319925     All      -4.164687373635102e-05     -1.9692759529680348e-05    -0.00018654196983735293    -1.173334091546148e-06    
MWEBV         All|All|All               All                  All      -0.3988385536847323        -2.4414700866937977        0.5404001873604073         -0.6412367124888241       
Redshift      All|All|All               All                  All      2.075807808692077          0.17516447318719486        -2.9995645195433873        -0.7529588516880542       
