#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3454.633680451833    All      -0.40590581283251026       0.28097180403996447        0.5958189769245688        0.25032730186030644       
Zeropoint     AB|PS|PS_i                5313.789111153464    All      1.0729170010019968         0.49009125469119397        1.227572206551104         -0.13506461042778556      
Zeropoint     AB|PS|PS_z                6106.840289526391    All      1.0111409697899079         0.03288100183027609        0.13308688997526402       -0.3127123987078243       
Zeropoint     AB|PS|PS_r                4387.15025319925     All      -0.6806756863581382        0.196302954241645          -1.9394418182835154       0.19911241416773343       
Check         All|All|All               All                  All      0.9974764716012562         1.0002470148030795         0.017036255167421466      0.0016627068924300048     
Lambda        AB|PS|PS_g                3454.633680451833    All      -0.000685116481182008      0.00037554930113121564     0.0004212767424935795     0.00036429338633056814    
Lambda        AB|PS|PS_i                5313.789111153464    All      0.00013453150023573648     1.7316589663030628e-05     -0.000877942215454314     -7.735928146252342e-05    
Lambda        AB|PS|PS_z                6106.840289526391    All      -0.00020129827956135647    -9.637314145853557e-05     -0.0007267949721662463    1.744047855389299e-06     
Lambda        AB|PS|PS_r                4387.15025319925     All      -0.0001804063456757681     -4.8084163029279864e-05    -0.0007825315181934624    8.180900538756964e-06     
MWEBV         All|All|All               All                  All      -0.4059311528222418        -2.4801144531942043        0.29187250129465325       -0.6626048103239723       
Redshift      All|All|All               All                  All      2.494720721125915          0.09351396424968073        0.00524885565850433       -0.7819178057495176       
