#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_r            5374.345861627246     All      0.9325869847198883        0.40805316576246753        0.43931331587844913        -0.15125338588992615     
Zeropoint     AB|SDSS|SDSS_g            4112.91154490573      All      -0.8567008069250442       0.5787574342091872         -0.5317926169270089        0.44384451225251836      
Zeropoint     AB|SDSS|SDSS_i            6517.3336972134175    All      0.9153555825716995        -0.028112961269854964      -0.05442037460719088       -0.30974727529730933     
Zeropoint     AB|SDSS|SDSS_z            7748.566489830877     All      0.08682950465021565       -0.004696209701648968      0.04160668406062078        -0.0279562210539282      
Zeropoint     AB|SDSS|SDSS_u            3127.8139088561566    All      -0.08552913678103179      0.04640352544633686        0.11067128237725217        0.047913559580798765     
Check         All|All|All               All                   All      0.9925421282357273        1.0004049544464877         0.005378290782122347       0.002801189592153447     
Lambda        AB|SDSS|SDSS_r            5374.345861627246     All      0.0002744903351293961     0.00011007650329259061     0.00031816578170831665     -3.93567165285883e-05    
Lambda        AB|SDSS|SDSS_g            4112.91154490573      All      -0.0007368170841978583    0.00030802145795709283     -0.0017191782066281083     0.0002636192598849838    
Lambda        AB|SDSS|SDSS_i            6517.3336972134175    All      -0.0002982499212414337    1.4137261284364698e-05     -4.3454038980149364e-05    9.981562839919152e-05    
Lambda        AB|SDSS|SDSS_z            7748.566489830877     All      -8.659795044853718e-07    -1.6749141699839946e-07    2.898494730919434e-06      3.568670572061677e-07    
Lambda        AB|SDSS|SDSS_u            3127.8139088561566    All      -6.423493825407098e-05    3.549399502401258e-05      8.8388684644704e-05        3.642937559426971e-05    
MWEBV         All|All|All               All                   All      -0.7559928720480733       -3.3642892829792714        0.23579250449503145        -0.8390856149235761      
Redshift      All|All|All               All                   All      5.285665379215745         -0.8681843052775307        -0.10713937740259465       -2.0092924362206617      
