#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5374.345861627246     All      0.982414007443391         0.4018666922776859         0.6267091476802267        -0.16113620909886453       
Zeropoint     AB|SDSS|SDSS_g            4112.91154490573      All      -0.9366316481171579       0.5611632445610581         -0.945320919652537        0.44569574159147185        
Zeropoint     AB|SDSS|SDSS_i            6517.3336972134175    All      0.9479633094306292        -0.020053813808296184      0.05629132057070052       -0.3128030007559412        
Zeropoint     AB|SDSS|SDSS_z            7748.566489830877     All      0.09841068647612983       -0.00259875844719204       0.07347237967271214       -0.029623364465198795      
Zeropoint     AB|SDSS|SDSS_u            3127.8139088561566    All      -0.09879333687165323      0.06004501519640826        0.19813468731045836       0.06058071799009586        
Check         All|All|All               All                   All      0.9933630183613388        1.000422379779664          0.009286615581560742      0.0027138852615632147      
Lambda        AB|SDSS|SDSS_r            5374.345861627246     All      0.0002860398177527381     8.791679174077306e-05      0.00020801917434487525    -5.5252247272546296e-05    
Lambda        AB|SDSS|SDSS_g            4112.91154490573      All      -0.0007141747351090867    0.0002585589347523743      -0.0018821855230011515    0.0002328580629349522      
Lambda        AB|SDSS|SDSS_i            6517.3336972134175    All      -0.0003615415478615077    3.6371433286630755e-06     -0.0002088264467294652    0.00010963174853036941     
Lambda        AB|SDSS|SDSS_z            7748.566489830877     All      -5.271703001017205e-06    -1.8936283991605847e-06    -3.074333676800796e-05    -2.71583887739567e-07      
Lambda        AB|SDSS|SDSS_u            3127.8139088561566    All      -6.080351354689423e-05    2.8991159056122606e-05     6.240009676470644e-05     3.2033708749114536e-05     
MWEBV         All|All|All               All                   All      -0.7566508334873294       -3.376684054845036         0.15020096223453683       -0.846728237632435         
Redshift      All|All|All               All                   All      5.4718987508121755        -0.4829260432433813        2.2273346358781976        -1.8402866283192976        
