#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7853.490443223483    All      0.10736918746380804        -0.007255865919653104      0.04504226734342032       -0.035327121419352625     
Zeropoint     AB|SDSS|SDSS_g            4168.604806338274    All      -0.6467219089157409        0.5518800974515514         -0.08885961525177954      0.3864587097973285        
Zeropoint     AB|SDSS|SDSS_u            3170.167885068953    All      -0.09365934013880255       0.050120451550483835       0.06884064762455733       0.04990585029767125       
Zeropoint     AB|SDSS|SDSS_r            5447.120305189314    All      0.7602008297370122         0.4102617640814543         -0.3713000207891337       -0.1305560809458206       
Zeropoint     AB|SDSS|SDSS_i            6605.585429709735    All      0.8643333191152588         -0.0046192394890454125     0.34731302029847866       -0.26754745108254485      
Check         All|All|All               All                  All      0.9915220872615358         1.000387207674791          0.001036299225543047      0.002933906647281659      
Lambda        AB|SDSS|SDSS_z            7853.490443223483    All      9.7240270034519e-06        4.284448061180379e-07      2.3673164379656908e-05    -1.971452337889533e-06    
Lambda        AB|SDSS|SDSS_g            4168.604806338274    All      -0.0005233855221745182     0.00026354383270448174     -0.0006412179983650966    0.00022771416583159011    
Lambda        AB|SDSS|SDSS_u            3170.167885068953    All      -4.599084902424409e-05     2.9251657224411898e-05     4.9472404277279314e-05    2.6716685874476632e-05    
Lambda        AB|SDSS|SDSS_r            5447.120305189314    All      -4.085942842436521e-05     6.824440548187744e-06      -0.0019893368205212035    -7.324276072926775e-05    
Lambda        AB|SDSS|SDSS_i            6605.585429709735    All      -0.00034756659708697123    -1.5583872873653558e-05    -0.0004436650364512244    8.833896228648206e-05     
MWEBV         All|All|All               All                  All      -0.85471482904889          -3.3838877239826815        0.10138206325287502       -0.8193106033446736       
Redshift      All|All|All               All                  All      4.103180025976371          0.08156601433810806        6.067563312294144         -1.0392045074442884       
