#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7853.490443223483    All      0.11642924648500219        -0.011831931408678997     0.06638907828651938        -0.03881624565746842       
Zeropoint     AB|SDSS|SDSS_g            4168.604806338274    All      -0.7230784333426696        0.5948417523230276        0.003730027104355139       0.4294564167358287         
Zeropoint     AB|SDSS|SDSS_u            3170.167885068953    All      -0.10285807830461069       0.056533443346395984      0.04177112128592414        0.05378311572220792        
Zeropoint     AB|SDSS|SDSS_r            5447.120305189314    All      0.7023887301992862         0.4059984000551964        -0.5509585279812126        -0.12113083012296938       
Zeropoint     AB|SDSS|SDSS_i            6605.585429709735    All      0.9992422576757289         -0.04482693499632262      0.44262305738102836        -0.32033545075272013       
Check         All|All|All               All                  All      0.9921237227127372         1.0007147293196184        0.0035547560766144293      0.0029570059248786307      
Lambda        AB|SDSS|SDSS_z            7853.490443223483    All      8.13845026146733e-06       -3.890864697114338e-09    1.9025056309730697e-05     -1.8032274956779601e-06    
Lambda        AB|SDSS|SDSS_g            4168.604806338274    All      -0.0006075573277633272     0.0003726702981608048     -0.00047985020438981696    0.00029787887554486226     
Lambda        AB|SDSS|SDSS_u            3170.167885068953    All      -6.872572564976944e-05     3.720707741098251e-05     2.9323908757061322e-05     3.581439041057634e-05      
Lambda        AB|SDSS|SDSS_r            5447.120305189314    All      2.2167210793809457e-05     3.0490292275947356e-05    -0.0019418745477992761     -8.394584090109543e-05     
Lambda        AB|SDSS|SDSS_i            6605.585429709735    All      -0.00033912598452335197    -7.083070716731552e-06    -0.000551816477908699      8.353226590655657e-05      
MWEBV         All|All|All               All                  All      -0.7878158190054885        -3.423446951807918        0.08932956327712736        -0.8545254015092714        
Redshift      All|All|All               All                  All      3.9111074088830238         -0.45250288895033464      5.2807026027071045         -1.1857179287499953        
