#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6238.806613537264    All      0.9005758079965965         0.08902619180837235        0.30728411113090104       -0.2506357306069351        
Zeropoint     AB|PS|PS_g                3529.28690306767     All      -0.6549544720830554        0.335761486097752          0.2854724304908407        0.33544810461174357        
Zeropoint     AB|PS|PS_r                4481.954778018906    All      -0.1413914387090628        0.32536590387657327        -0.37640179807041374      0.13524113884364475        
Zeropoint     AB|PS|PS_i                5428.617923161302    All      0.8912503394316419         0.24850755589600482        -0.2142276096718243       -0.2189224645148785        
Check         All|All|All               All                  All      0.9954802366361202         0.9986611376787025         0.0021271338795036954     0.0011310483335746913      
Lambda        AB|PS|PS_z                6238.806613537264    All      -0.0001493260754944145     -8.111645185382152e-05     -0.0011418262369829557    -2.8736342288622773e-05    
Lambda        AB|PS|PS_g                3529.28690306767     All      -0.0011157678197247505     0.0004193336413564871      -0.0008526823537173242    0.0004619817519941252      
Lambda        AB|PS|PS_r                4481.954778018906    All      -7.750912161717306e-05     -0.00020447702129909638    -0.00123874326199733      -9.66370444871523e-05      
Lambda        AB|PS|PS_i                5428.617923161302    All      -4.1399855637499344e-05    -4.520552801570881e-05     -0.0018889764974529327    -8.55359780225607e-05      
MWEBV         All|All|All               All                  All      -0.4672530216818709        -2.592446964401418         0.0841514299171564        -0.6884902921240706        
Redshift      All|All|All               All                  All      4.219971653509841          0.08154847098520435        0.2985761654912711        -1.3346964976717695        
