#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7366.314569090481    All      0.6200733395579026        -0.15864758948680446       0.014814460961461856       -0.2529939243951097       
Zeropoint     AB|PS|PS_r                6081.748475696575    All      0.9599001213371412        0.02731176397254842        -0.08785832284323031       -0.30769542266909294      
Zeropoint     AB|PS|PS_g                4789.034317859677    All      -1.0683110704360952       1.2846628107411107         0.07053670853725824        0.769588732979417         
Zeropoint     AB|PS|PS_z                8465.69287091676     All      0.48498662110384977       -0.15124702719440108       0.012606394825338818       -0.20667966521406497      
Check         All|All|All               All                  All      0.9966490115627985        1.0020799580324535         0.010099241480828608       0.0022197207011493136     
Lambda        AB|PS|PS_i                7366.314569090481    All      2.1437069662064493e-05    -0.00016480063745483818    -0.000626352612734983      -8.861498861941217e-05    
Lambda        AB|PS|PS_r                6081.748475696575    All      -6.694947210392618e-05    -9.549513637127729e-05     -0.0003751624096881334     -2.604003726209296e-05    
Lambda        AB|PS|PS_g                4789.034317859677    All      -0.0005915286352365975    0.0005693625182445         -0.00020831165853708728    0.0003688444482936536     
Lambda        AB|PS|PS_z                8465.69287091676     All      0.0006381302959867464     -0.00023126694996040157    -6.031626004295177e-05     -0.0002858829229879584    
MWEBV         All|All|All               All                  All      -0.6490000228283801       -4.084475444959779         -0.0006843581068727289     -1.1190779085316092       
Redshift      All|All|All               All                  All      5.462752949326548         -0.6162921244545316        -0.6186466376894024        -2.0077523332718332       
