#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4307.276168424299     All      -0.5136025833810334        0.31349881088313936        -0.08470800968815055       0.2656340055169043         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6090.784967523756     All      1.0957767458872554         -0.03910277619638691       0.011499890559887297       -0.3691544094713153        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3520.0100392548416    All      -0.26783992959925096       0.09882169182207079        -0.03497490150536929       0.11787298368569582        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5262.2995589697675    All      0.6137744672428914         0.2254450963403265         -0.06531302353747753       -0.1294062720284037        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4705.295716235939     All      -0.30054095307387174       0.4427390595572511         0.05220062584718223        0.24444022748279703        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7446.917257989617     All      0.3666654108521061         -0.04334532085321641       0.12168554289563736        -0.12812371737088604       
Check         All|All|All                              All                   All      0.9942331579280967         0.9980565615531845         0.00039012457170950476     0.001262817814792122       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4307.276168424299     All      -0.00035868006999192025    0.0001229215731655585      -0.0004880600756296705     0.00013509361980332702     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6090.784967523756     All      -0.00016754746359665573    -1.6829207201612406e-05    -0.0006399834433660423     2.053437285143177e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3520.0100392548416    All      -0.00046734829748726716    0.00012843996726830887     -2.987431632163103e-05     0.0001927346851529357      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5262.2995589697675    All      0.00020174296436212966     3.7761215472483755e-05     -0.0009786998741454322     -9.70891308298274e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4705.295716235939     All      -0.00012205979251706542    -8.229780408833619e-05     -0.000601029875502625      -1.3869415151508269e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7446.917257989617     All      -5.401319242406042e-05     -1.9648442419160357e-06    -0.00027597499247030604    4.6383629360626895e-06     
MWEBV         All|All|All                              All                   All      -1.0317057601320863        -3.9350126668190377        -0.0132910389977491        -0.9462956934949979        
Redshift      All|All|All                              All                   All      6.222582156417277          0.42869439059023406        8.617999436778161          -1.5026781247519332        
