#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4307.276168424299     All      -0.5065644001580527        0.3088086889738939        -0.22282813298459825       0.2556500439456211         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6090.784967523756     All      1.077738914949553          -0.04002241411447116      0.10516782003828773        -0.3593984813416218        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3520.0100392548416    All      -0.3101505859262233        0.10823998831357429       -0.06050371981856095       0.1335835715389755         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5262.2995589697675    All      0.6295842285191886         0.21223377063490645       -0.1560602655519272        -0.14290902744784895       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4705.295716235939     All      -0.2351839807137966        0.4463054028361668        0.18867560242776804        0.23040323813764418        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7446.917257989617     All      0.3394170813610242         -0.037352486911057525     0.14701820805025356        -0.11616549634175799       
Check         All|All|All                              All                   All      0.9948412580316934         0.9982129497330128        0.00146951216122293        0.0011638484910120317      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4307.276168424299     All      -0.0004194209242233386     0.00014266435444365956    -0.0006559882052151615     0.0001538159265643391      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6090.784967523756     All      8.920251846982723e-05      -6.986357025348123e-06    -5.3643147640743504e-05    -3.372572857392743e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3520.0100392548416    All      -0.0004185469652035598     0.0001606081885191563     0.0002820671093746795      0.0002012372468101131      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5262.2995589697675    All      0.0002345880720348785      4.4845693633337415e-05    -0.0010147182059565432     -0.00010708754808390474    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4705.295716235939     All      -0.00011811289100835324    9.096634272713006e-06     -0.00041660834128412087    2.284501059450869e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7446.917257989617     All      8.581495129877465e-06      -7.38494036481158e-06     -7.375159443265423e-05     -8.49198825145364e-06      
MWEBV         All|All|All                              All                   All      -1.0541822354929131        -3.9309449543519115       -0.009636562219528244      -0.9374862957273855        
Redshift      All|All|All                              All                   All      4.845676650196432          -0.3283916715159485       6.978397010470605          -1.373950466214302         
