#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6711.904742697373     All      0.8793645489987687        -0.021550268957959418     0.5309404791650929        -0.26976416036192524       
Zeropoint     AB|SDSS|SDSS_u            3221.192896429803     All      -0.1112662125868008       0.06552841751776839       0.1400276910356213        0.06383662012262192        
Zeropoint     AB|SDSS|SDSS_g            4235.700025050226     All      -0.7523361660402131       0.6603311401535805        -0.04943666307972161      0.45794608578236873        
Zeropoint     AB|SDSS|SDSS_z            7979.8952437311045    All      0.13214888674259276       -0.010820395237942648     0.07763456523757761       -0.043105324606836255      
Zeropoint     AB|SDSS|SDSS_r            5534.793698376236     All      0.8445412141056119        0.3071602943363061        -0.6950795808070398       -0.20606085418236816       
Check         All|All|All               All                   All      0.9924522712199593        1.000649187811753         0.004086491551530402      0.0028523667538609965      
Lambda        AB|SDSS|SDSS_i            6711.904742697373     All      -0.0005165356761516981    3.4587544545952045e-06    -0.0006178901582117395    0.0001418056934629593      
Lambda        AB|SDSS|SDSS_u            3221.192896429803     All      -8.483336732013311e-05    4.880181110081181e-05     7.053689917667537e-05     4.6677111924478644e-05     
Lambda        AB|SDSS|SDSS_g            4235.700025050226     All      -0.0005031343110228502    0.00027487317707494983    -0.0008013539844012172    0.00021766188672144406     
Lambda        AB|SDSS|SDSS_z            7979.8952437311045    All      1.4136391713069111e-05    -1.249500635365027e-06    2.241407353880197e-05     -4.0114541607877095e-06    
Lambda        AB|SDSS|SDSS_r            5534.793698376236     All      4.487747488401487e-05     -1.207394085349081e-05    -0.0008760403310491303    -5.7644606218643825e-05    
MWEBV         All|All|All               All                   All      -0.7837599389728993       -3.507194648217471        0.17973859414393          -0.8790913751944148        
Redshift      All|All|All               All                   All      2.6847714181920708        0.019980395929231065      -3.388057552323581        -1.0192035527463097        
