#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6711.904742697373     All      0.8736356658035835        -0.020916224501199565     0.5508429640832223        -0.26680338899849565       
Zeropoint     AB|SDSS|SDSS_u            3221.192896429803     All      -0.11301382437903329      0.06561476685984502       0.11687770644657403       0.06340092411141986        
Zeropoint     AB|SDSS|SDSS_g            4235.700025050226     All      -0.7434971999030597       0.6467432774398318        -0.12799537350952256      0.44713521536550066        
Zeropoint     AB|SDSS|SDSS_z            7979.8952437311045    All      0.14123179201968505       -0.010685464100390618     0.09991969343543686       -0.045025491244111024      
Zeropoint     AB|SDSS|SDSS_r            5534.793698376236     All      0.8342460179672264        0.3199019898596944        -0.634536520533962        -0.19585522196113514       
Check         All|All|All               All                   All      0.9926024515084022        1.000658345557781         0.005108469921748515      0.002852037273178676       
Lambda        AB|SDSS|SDSS_i            6711.904742697373     All      -0.0005101413880003532    6.996285168367618e-06     -0.0005654934638651599    0.0001432133774003889      
Lambda        AB|SDSS|SDSS_u            3221.192896429803     All      -8.198141497288745e-05    4.7151199821016975e-05    8.384309660066914e-05     4.580427329908668e-05      
Lambda        AB|SDSS|SDSS_g            4235.700025050226     All      -0.0005230291037405552    0.0002661516117191985     -0.00095542097433489      0.00021442607230484487     
Lambda        AB|SDSS|SDSS_z            7979.8952437311045    All      1.2108651010913427e-05    -8.351808795835302e-07    2.5466759530830265e-05    -3.0797673728902972e-06    
Lambda        AB|SDSS|SDSS_r            5534.793698376236     All      3.441751544857872e-05     -1.783488513529331e-05    -0.0008874054743094791    -5.662115653559306e-05     
MWEBV         All|All|All               All                   All      -0.7989947648303235       -3.4998822989338763       0.2015738544828837        -0.8707726110877517        
Redshift      All|All|All               All                   All      2.6430758045878453        0.10776102512277674       -3.0468728852015765       -0.9618033761360537        
