#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3925.845493757354     All      -0.7610173854977432        0.48398912129989924       -0.28559379949485986       0.3927948391748686         
Zeropoint     AB|PS|PS_r                4985.557267451312     All      -0.1105084731930358        0.5262085119644766        0.16135904843119706        0.21460038266859494        
Zeropoint     AB|PS|PS_z                6939.8129148666785    All      0.5613307662613278         -0.053226900164737856     0.19802595940722617        -0.1913446612336403        
Zeropoint     AB|PS|PS_i                6038.589606429787     All      1.3061471856219298         0.04159649072832394       -0.07472785357493378       -0.41524052470142403       
Check         All|All|All               All                   All      0.9959520931924787         0.9985672238279619        -0.0009366452313704088     0.0008100359083991759      
Lambda        AB|PS|PS_g                3925.845493757354     All      -0.0006576748224364662     0.0003533985793629152     -0.0005736364159491573     0.00030374111166591106     
Lambda        AB|PS|PS_r                4985.557267451312     All      -0.0001260094746166992     -3.792896742414633e-05    -0.0011736647863469442     -2.3684550012045117e-05    
Lambda        AB|PS|PS_z                6939.8129148666785    All      -0.00031762939299270694    2.8821691501622646e-05    -0.00012407633997479198    0.00010731355893087398     
Lambda        AB|PS|PS_i                6038.589606429787     All      -6.709232444003746e-05     -1.020120455163495e-05    -0.00013444005928462665    1.2531867024888817e-05     
MWEBV         All|All|All               All                   All      -0.5087976158502214        -3.071262476266412        0.031295665553601054       -0.8332825258095595        
Redshift      All|All|All               All                   All      4.4714610644944175         -0.18316975553531734      -1.9826029929288058        -1.6046408566973882        
