#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3925.845493757354     All      -0.6860542835945493        0.468366780676277          -0.13351947065024697       0.3700745592155513        
Zeropoint     AB|PS|PS_r                4985.557267451312     All      -0.12908761279950942       0.5482747356204243         0.15564654187619115        0.22758499174494198       
Zeropoint     AB|PS|PS_z                6939.8129148666785    All      0.542745805517185          -0.0576244798617509        0.14119050727205928        -0.18925966966862015      
Zeropoint     AB|PS|PS_i                6038.589606429787     All      1.2679713618680242         0.0399599422864938         -0.1637709977544302        -0.40731206719019136      
Check         All|All|All               All                   All      0.9955752709911508         0.9989769787214442         -0.00045341925642672365    0.0010878141016817389     
Lambda        AB|PS|PS_g                3925.845493757354     All      -0.0006578704998082476     0.00036130306215390517     -0.0006298222926799926     0.0003038722826921804     
Lambda        AB|PS|PS_r                4985.557267451312     All      -0.0001564878192073262     -4.056843964998263e-06     -0.0010584909304750683     2.416194712457191e-06     
Lambda        AB|PS|PS_z                6939.8129148666785    All      -0.00033020908461802985    2.4517935469660308e-05     -0.0001735825814075412     0.00010780006724262444    
Lambda        AB|PS|PS_i                6038.589606429787     All      -3.0798480920560664e-05    -3.7728538548356438e-06    -2.3269275240590865e-05    7.764734969955724e-06     
MWEBV         All|All|All               All                   All      -0.5080606405496169        -3.0714139493220216        0.03386971957879216        -0.8334570544593193       
Redshift      All|All|All               All                   All      4.5699499851303464         -0.25955204965786294       -1.6097068524523181        -1.6449615223368657       
