#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7175.3230385567285    All      0.49808061367913536        -0.06412902554782107      0.39781837978915113       -0.16537736846770124      
Zeropoint     AB|PS|PS_r                5154.747593346985     All      0.1305089101916217         0.6651995354213014        1.0796073638910508        0.22234424562956148       
Zeropoint     AB|PS|PS_i                6243.51573377209      All      1.1482632989073507         -0.11327224242130285      -1.0165019724749942       -0.45628544350414585      
Zeropoint     AB|PS|PS_g                4059.073344301014     All      -0.7815585177452493        0.5115741870312718        -0.457533772920893        0.4007982338392049        
Check         All|All|All               All                   All      0.9952943050328581         0.9993724544834492        0.00338999828431491       0.0014796674969193013     
Lambda        AB|PS|PS_z                7175.3230385567285    All      -0.0001446843013963875     -2.668209078195634e-05    -0.0006619636938631105    8.896802786705207e-06     
Lambda        AB|PS|PS_r                5154.747593346985     All      -3.834078756192662e-05     1.8081818358054172e-05    -0.0006126386516684598    -8.960550279673683e-06    
Lambda        AB|PS|PS_i                6243.51573377209      All      -0.00015555453514997357    -3.88326611859273e-05     -0.0005538229534897833    1.330557958825602e-05     
Lambda        AB|PS|PS_g                4059.073344301014     All      -0.0006098254705099463     0.00036988369994056254    -0.0005781785017068446    0.00029332205723670067    
MWEBV         All|All|All               All                   All      -0.5260071381789384        -3.227835918587374        0.07032455109754457       -0.8769362595791765       
Redshift      All|All|All               All                   All      6.158712025430637          -0.13723396316880354      2.207414705436201         -1.9522899589428928       
