#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7175.3230385567285    All      0.45893254124904254        -0.053778303434626196     0.3270100291520833        -0.1524138341009229        
Zeropoint     AB|PS|PS_r                5154.747593346985     All      0.23880835934785594        0.6371878926476171        1.2028231472237443        0.18344179298677987        
Zeropoint     AB|PS|PS_i                6243.51573377209      All      1.1430462308283729         -0.08161493822882449      -0.7386797628957692       -0.43187631810225335       
Zeropoint     AB|PS|PS_g                4059.073344301014     All      -0.845365034718618         0.49730101307083885       -0.7893862632620346       0.40212382075653363        
Check         All|All|All               All                   All      0.9954220967066533         0.9990956640550053        0.0017671502180238718     0.001275461540137246       
Lambda        AB|PS|PS_z                7175.3230385567285    All      -0.00013688047831790273    -1.85444520297304e-05     -0.0005456834971823755    1.4194588656086928e-05     
Lambda        AB|PS|PS_r                5154.747593346985     All      -0.00010366885066250177    -3.638932435130583e-05    -0.0009394958744573647    -2.0010230778326723e-05    
Lambda        AB|PS|PS_i                6243.51573377209      All      -0.00021709878830507637    -3.748228886302714e-05    -0.0004391975591150924    3.890763317370735e-05      
Lambda        AB|PS|PS_g                4059.073344301014     All      -0.0005118279055805733     0.000299830624858329      -0.0005484248497111172    0.00023991020391807142     
MWEBV         All|All|All               All                   All      -0.532087374874104         -3.2244506064426304       0.07284796009292827       -0.8737404107608454        
Redshift      All|All|All               All                   All      6.231201438855372          0.28765523074447685       2.4585219334101738        -1.8262959945386652        
