#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5340.389059283604     All      0.49160658752566383        0.30854245493419086       0.004201152314232162       -0.05944253248352546      
Zeropoint     AB|PS|PS_z                7433.7328759589855    All      0.4041851414223463         -0.03337192122785382      0.1246801159158567         -0.13696282956668657      
Zeropoint     AB|PS|PS_g                4205.255540875071     All      -0.9381766183433006        0.76646335957129          -0.09681822817256425       0.5509367689429803        
Zeropoint     AB|PS|PS_i                6468.36775463762      All      1.0395710996894238         -0.0430248933360744       -0.03166244876957032       -0.35405008094688256      
Check         All|All|All               All                   All      0.9971862102941333         0.9986089999415526        0.0004005912879542911      0.00048132594588568       
Lambda        AB|PS|PS_r                5340.389059283604     All      0.00013174316605409016     5.077592528799409e-05     -0.00046328714207204694    -4.704807141041254e-05    
Lambda        AB|PS|PS_z                7433.7328759589855    All      -6.269046313247069e-05     -2.676804742877589e-05    -0.0003286820388550718     -2.966457205032586e-06    
Lambda        AB|PS|PS_g                4205.255540875071     All      -0.0007542922544231024     0.00040412152349636037    -0.0011548674363910114     0.0003257970485778157     
Lambda        AB|PS|PS_i                6468.36775463762      All      -0.00036775418792259017    -2.069755602243265e-06    -0.0003000148511769729     0.00010572716537755753    
MWEBV         All|All|All               All                   All      -0.552585091397026         -3.4011431468325526       0.024273341672835447       -0.9267858656763349       
Redshift      All|All|All               All                   All      5.924541638800091          0.08506963454077976       -1.2513579032153226        -1.957950500651404        
