#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5340.389059283604     All      0.5335044711399317        0.33185591565967343       0.018430106483882658       -0.06486111755438645      
Zeropoint     AB|PS|PS_z                7433.7328759589855    All      0.3826557596767349        -0.03306836000955826      0.10245207595856454        -0.1308430570944527       
Zeropoint     AB|PS|PS_g                4205.255540875071     All      -0.9345995561956115       0.7427202473333949        -0.08981782502663349       0.5423500851792696        
Zeropoint     AB|PS|PS_i                6468.36775463762      All      1.0158588742586312        -0.04329882115428063      -0.03149478849335252       -0.3464079744092838       
Check         All|All|All               All                   All      0.9974195488796863        0.9982089818292295        -0.0004304310775388176     0.00023793612114669793    
Lambda        AB|PS|PS_r                5340.389059283604     All      8.710018711915481e-05     2.608137634515364e-05     -0.0006356025991873999     -4.823985891292344e-05    
Lambda        AB|PS|PS_z                7433.7328759589855    All      -8.356438062981028e-05    -2.53002715647827e-05     -0.00032283911355351203    4.571710263256166e-06     
Lambda        AB|PS|PS_g                4205.255540875071     All      -0.0007045993501467275    0.00032331272156221853    -0.0012960205538178203     0.00027698933414850314    
Lambda        AB|PS|PS_i                6468.36775463762      All      -0.0004058005772623987    -9.666986410708843e-06    -0.0003977872916819567     0.00011128232309161621    
MWEBV         All|All|All               All                   All      -0.5544246284245213       -3.3995437481070923       0.02504132076842913        -0.9256314197841355       
Redshift      All|All|All               All                   All      6.210905044829513         0.35131784617874473       -0.5037831572934692        -1.9311418538110663       
