#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6534.8426319717655    All      0.359181909819843          0.05179610494536746       0.2938521369075131        -0.08701239808408673       
Zeropoint     AB|PS|PS_r                4694.626868929563     All      0.4729655987433935         0.30272801457673637       0.021608358938118855      -0.05448769999743808       
Zeropoint     AB|PS|PS_i                5686.209885073979     All      1.1188706202358008         0.19247426002948487       -0.5604158634326062       -0.3267665581422094        
Zeropoint     AB|PS|PS_g                3696.7541940765213    All      -0.9546433796910625        0.4521857949367103        0.25456725737609265       0.46961071299293083        
Check         All|All|All               All                   All      0.9963747491079745         0.999184174488299         0.009611889789118422      0.0013440567691966332      
Lambda        AB|PS|PS_z                6534.8426319717655    All      -0.00015867647579536557    -2.241550729375405e-05    -8.0008370683209e-05      4.081427417524818e-05      
Lambda        AB|PS|PS_r                4694.626868929563     All      -0.00010053527860648498    -7.765671975454675e-05    -0.000700935292182165     -2.3827223510429444e-05    
Lambda        AB|PS|PS_i                5686.209885073979     All      -0.0004677747611681423     -6.390203418393075e-05    0.0005068236495220287     0.00015417184591815292     
Lambda        AB|PS|PS_g                3696.7541940765213    All      -0.0013933712702279542     0.0005028526958644285     -0.0011689560470567496    0.0005654973901125759      
MWEBV         All|All|All               All                   All      -0.5300417111430304        -2.7843887002834578       0.04814141102771341       -0.7321666501073715        
Redshift      All|All|All               All                   All      6.341973587102954          0.146809481105592         -4.684923771707039        -2.227035395023201         
