#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6534.8426319717655    All      0.43398612144054055        0.05833727338071526        0.4886266458451671         -0.10055602527004477      
Zeropoint     AB|PS|PS_r                4694.626868929563     All      0.424681101864111          0.36247526252495277        0.3262318382210688         -0.005704259772922413     
Zeropoint     AB|PS|PS_i                5686.209885073979     All      1.1362141638542271         0.1632012885773193         -0.6090575233679332        -0.34412174461834355      
Zeropoint     AB|PS|PS_g                3696.7541940765213    All      -0.9972471603326568        0.41470979789011153        -0.20135218645111205       0.4509354099931485        
Check         All|All|All               All                   All      0.9976342268262219         0.9987236223730989         0.004448774247190618       0.0005533803318377717     
Lambda        AB|PS|PS_z                6534.8426319717655    All      -0.00016469224018942692    -2.4848271535856107e-05    -0.00022364780647308912    3.557140689470932e-05     
Lambda        AB|PS|PS_r                4694.626868929563     All      -7.948873335628123e-05     -4.309211801220918e-05     -0.0006260205629477315     -1.608084748526618e-05    
Lambda        AB|PS|PS_i                5686.209885073979     All      -0.00030805964904856794    -4.672630641922638e-05     0.00016777112415987958     9.261172203232738e-05     
Lambda        AB|PS|PS_g                3696.7541940765213    All      -0.001701222480189543      0.0005734650838704253      -0.001731545166070277      0.000663669666549948      
MWEBV         All|All|All               All                   All      -0.4916514467950006        -2.791723527160528         0.10312230741197276        -0.7446072717426994       
Redshift      All|All|All               All                   All      7.057166862170317          0.14525134457095135        -1.2204732935485467        -2.3059023970083117       
