#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3148.85507025174     All      -0.095555390946003         0.0529514381447882        0.19400398241030484       0.05703106667133647       
Zeropoint     AB|SDSS|SDSS_r            5410.499700047749    All      0.8333969754376167         0.3116106043357547        -1.187524072058729        -0.22295673256479084      
Zeropoint     AB|SDSS|SDSS_z            7800.691981579383    All      0.09755842042325466        -0.0010891486690312036    0.15731639168929779       -0.025112450628942042     
Zeropoint     AB|SDSS|SDSS_i            6561.176545345675    All      0.9445535223731947         0.018116409964541447      0.9511721954002387        -0.25932459988235196      
Zeropoint     AB|SDSS|SDSS_g            4140.579570607991    All      -0.7872101022655508        0.6192758697395107        -0.10094157651921648      0.45363419414395073       
Check         All|All|All               All                  All      0.9927434250225122         1.0008651735155638        0.01402692092189578       0.0032714777392023886     
Lambda        AB|SDSS|SDSS_u            3148.85507025174     All      -6.619941576446742e-05     3.7169629643069545e-05    0.00014252424781101218    4.003090141942854e-05     
Lambda        AB|SDSS|SDSS_r            5410.499700047749    All      0.00025383346740584343     8.677299780495188e-05     -4.318688642412636e-06    -5.460981431430035e-05    
Lambda        AB|SDSS|SDSS_z            7800.691981579383    All      5.778429404084404e-06      1.6407545721698552e-07    1.9391098058026184e-05    -9.634441410155804e-07    
Lambda        AB|SDSS|SDSS_i            6561.176545345675    All      -0.00029178651498475627    6.95196738543312e-07      -0.000270182926933433     8.321389274704212e-05     
Lambda        AB|SDSS|SDSS_g            4140.579570607991    All      -0.0006534388280156696     0.00032980009922548855    -0.0014757467817938014    0.00025441746519068643    
MWEBV         All|All|All               All                  All      -0.776370464939188         -3.389982682013226        0.36222941262651864       -0.8351748493629333       
Redshift      All|All|All               All                  All      4.013159232245913          -0.5990061119010903       1.1408039623463233        -1.4514251470050674       
