#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6625.52129612386      All      1.2462668429817516         0.11371636704406995       4.301207464879308         -0.17696581539062423      
Zeropoint     AB|PS|PS_g                3748.0510272056713    All      -0.71178966030029          0.3948759036754623        0.0159559803957543        0.36118942452442043       
Zeropoint     AB|PS|PS_r                4759.770364671039     All      0.20325392106643037        0.5210059581964188        1.87537585375116          0.18719170328791446       
Zeropoint     AB|PS|PS_i                5765.112766980314     All      0.25612259799505754        -0.030861803653614572     -6.1920125896879          -0.36980134411593313      
Check         All|All|All               All                   All      0.9938537017429496         0.9987364252623365        0.0005267093383221066     0.0016139683057775356     
Lambda        AB|PS|PS_z                6625.52129612386      All      -0.0009465841957282508     -7.2663757348e-05         -0.0028427624175073863    0.00015780520755105497    
Lambda        AB|PS|PS_g                3748.0510272056713    All      -0.000778992232146772      0.0005137701653754193     0.0007350173380091294     0.0004538956914753883     
Lambda        AB|PS|PS_r                4759.770364671039     All      -9.53992054561841e-05      -8.202224107296402e-05    -0.0010139189858640594    -4.088923018897592e-05    
Lambda        AB|PS|PS_i                5765.112766980314     All      -4.9748937721074684e-06    3.825360091429315e-05     0.003182330056580048      0.0001560937174064714     
MWEBV         All|All|All               All                   All      -0.495406507972012         -2.8581896977561527       -0.002940810953466766     -0.7697674530569271       
Redshift      All|All|All               All                   All      4.567289180883742          0.5586395882362538        -2.7177111837342283       -1.4270280211137063       
