#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4023.5257221173338    All      -0.8161617413403182        0.5549293149156753         -0.26076088341680914      0.43497290398302624        
Zeropoint     AB|PS|PS_z                7112.4846390539       All      0.6152007389826187         -0.042809967050239095      0.4778677937570558        -0.19301068999613719       
Zeropoint     AB|PS|PS_i                6188.837702710246     All      0.9731947546906807         -0.025870419936246947      -0.792956107835659        -0.36081438482098144       
Zeropoint     AB|PS|PS_r                5109.604526356633     All      0.22397622984565185        0.5120425433604581         0.5749459974685992        0.1194898746475584         
Check         All|All|All               All                   All      0.9962099821786332         0.9982914712896473         -0.0009032000268131002    0.0006377038134660201      
Lambda        AB|PS|PS_g                4023.5257221173338    All      -0.000705754498923059      0.00041649140888597516     -0.0004845551144181461    0.0003439289436917746      
Lambda        AB|PS|PS_z                7112.4846390539       All      -0.00031261705550968545    -1.2361770996685534e-05    -0.0007053076121961077    6.632838489971764e-05      
Lambda        AB|PS|PS_i                6188.837702710246     All      -0.00019553711463208656    -7.929869241126847e-05     -0.0012161417249357453    -1.640814139914626e-05     
Lambda        AB|PS|PS_r                5109.604526356633     All      -0.00012356802433693552    -1.8434282136399147e-05    -0.0009030338048728474    -6.0527325951282605e-06    
MWEBV         All|All|All               All                   All      -0.5043656636426523        -3.1886950609308684        0.065992586427235         -0.8714294504715587        
Redshift      All|All|All               All                   All      7.820175631894008          -0.4012707604813315        1.7688407813676454        -2.5990603274683948        
