#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4023.5257221173338    All      -0.7951777406416071        0.5321233799634228         -0.25752022410977515      0.42085369703647907       
Zeropoint     AB|PS|PS_z                7112.4846390539       All      0.5833665588404646         -0.03776250871592168       0.5188199729263598        -0.179169619304715        
Zeropoint     AB|PS|PS_i                6188.837702710246     All      0.991848645342292          -0.033637289268284576      -0.8610440853980439       -0.37245894928668033      
Zeropoint     AB|PS|PS_r                5109.604526356633     All      0.215938908074579          0.5376774570713394         0.6003892966950919        0.13159344711530552       
Check         All|All|All               All                   All      0.9959763716157286         0.998401039050556          0.0006449601136326866     0.0008185755603892508     
Lambda        AB|PS|PS_g                4023.5257221173338    All      -0.0006442830900436071     0.00037139363914011646     -0.0004794986728695165    0.0003094415019545928     
Lambda        AB|PS|PS_z                7112.4846390539       All      -0.0003346657260012531     -2.2414770216021976e-05    -0.0008022134352125475    6.591130787006909e-05     
Lambda        AB|PS|PS_i                6188.837702710246     All      -0.0003195082579810921     -8.973379524006257e-05     -0.0014601011984335802    9.687491386198386e-06     
Lambda        AB|PS|PS_r                5109.604526356633     All      -0.00014671956365397223    -2.4007947948664717e-05    -0.0010045060102591952    -4.855279381173371e-06    
MWEBV         All|All|All               All                   All      -0.5072270989127743        -3.188254372866517         0.05396349142396395       -0.8708906435272508       
Redshift      All|All|All               All                   All      7.676135339358157          -0.23499116989231794       1.1307248291744454        -2.526455116499536        
