#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5385.53727596837     All      0.22756477360313687        0.37075899276484137       -1.659028118732078         -0.027391737167618953      
Zeropoint     AB|PS|PS_i                6523.052023094702    All      1.1006957827041586         -0.08123834121995799      0.4594996574700976         -0.3644894693324799        
Zeropoint     AB|PS|PS_g                4240.807218153001    All      -0.8049117085177938        0.7559351301456019        0.6139634813623196         0.5358175360293269         
Zeropoint     AB|PS|PS_z                7496.578443750909    All      0.4733851335893819         -0.046492232668171596     0.5911424898613183         -0.14296118734415403       
Check         All|All|All               All                  All      0.9967339813788835         0.9989635490223137        0.005577509961657623       0.0009751421850740516      
Lambda        AB|PS|PS_r                5385.53727596837     All      -3.6553185121178356e-06    6.486815137594462e-05     -0.0015434047113300276     -4.6554715167476016e-05    
Lambda        AB|PS|PS_i                6523.052023094702    All      -0.00034503144308733574    1.5619146588654397e-05    -0.0003469288597486752     0.00010199392048547937     
Lambda        AB|PS|PS_g                4240.807218153001    All      -0.000496208623835238      0.00028778342194961956    -0.0008538161360830991     0.00021727010916660358     
Lambda        AB|PS|PS_z                7496.578443750909    All      -6.792235407299192e-05     6.998235107639783e-07     -0.00016640251978200938    1.4926720642873162e-05     
MWEBV         All|All|All               All                  All      -0.5541868613829952        -3.441731095102085        0.07274339451819173        -0.9373219507068722        
Redshift      All|All|All               All                  All      5.319761350130786          0.1565594652502611        2.073642153628918          -1.5892875927795973        
