#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5385.53727596837     All      0.18581252458670255        0.32127322793122914       -1.944539726649519        -0.04265186944835751       
Zeropoint     AB|PS|PS_i                6523.052023094702    All      1.1210092203809836         -0.05459244359329318      0.546709607991458         -0.3585349992441196        
Zeropoint     AB|PS|PS_g                4240.807218153001    All      -0.7320564010208059        0.7674087302238064        0.8749278022537554        0.5274691336004486         
Zeropoint     AB|PS|PS_z                7496.578443750909    All      0.42199302189000804        -0.0349861908411242       0.5345010156131202        -0.12500083830362696       
Check         All|All|All               All                  All      0.9967583658368883         0.9991033237206182        0.011598699208814622      0.0012814266043444933      
Lambda        AB|PS|PS_r                5385.53727596837     All      -6.0280813405196956e-05    7.09181025558819e-05      -0.0017892904499438524    -3.7112011622550144e-05    
Lambda        AB|PS|PS_i                6523.052023094702    All      -0.00023604953002912145    -5.740871626941229e-06    -0.0005276959763338578    5.147045916757058e-05      
Lambda        AB|PS|PS_g                4240.807218153001    All      -0.0004863079013430589     0.0003507633713956328     -0.0005911023599050024    0.0002462834688702627      
Lambda        AB|PS|PS_z                7496.578443750909    All      2.8334443520258866e-05     1.232233739821716e-05     0.00030643392109225184    8.459068751660196e-06      
MWEBV         All|All|All               All                  All      -0.5449440420263025        -3.442904014200643        0.09765118362472514       -0.9396031791588773        
Redshift      All|All|All               All                  All      4.758767267674036          0.12946087810234985       0.19705760126609295       -1.4991236150482838        
