#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6754.977581893317    All      1.0590033588058163         -0.18672668323400643      0.1690621224674109         -0.3982307919419503       
Zeropoint     AB|PS|PS_z                7763.117502229815    All      0.5506802624863308         -0.14209760632759583      0.1659518125880062         -0.21825487638090224      
Zeropoint     AB|PS|PS_g                4391.588107274396    All      -0.7293712735827436        0.7827289145515337        0.16455007140455669        0.4998838918295445        
Zeropoint     AB|PS|PS_r                5577.018769253648    All      0.11556364931929675        0.5452487003859474        -0.4982825530230148        0.11772649553827286       
Check         All|All|All               All                  All      0.9958759970287003         0.9991533253758789        0.0012814534369590125      0.001124719044964806      
Lambda        AB|PS|PS_i                6754.977581893317    All      -0.0006355759424499801     6.246983166938383e-05     -0.0007789396411686192     0.000192615975009532      
Lambda        AB|PS|PS_z                7763.117502229815    All      -0.0002329666087762195     7.979766263198969e-05     0.00016376155379960853     0.00010918553885301484    
Lambda        AB|PS|PS_g                4391.588107274396    All      -0.0004208454611940101     0.00038613248236484487    -0.00014689062855142748    0.00025630421089488907    
Lambda        AB|PS|PS_r                5577.018769253648    All      -4.3172910285381794e-05    0.00010281495998582351    -0.0004806331028656049     2.6104604292709262e-05    
MWEBV         All|All|All               All                  All      -0.5603688074463467        -3.634976910763754        0.032611128303487724       -1.000045725973886        
Redshift      All|All|All               All                  All      3.8104179550442594         -0.32265098706592         -2.3517581975279716        -1.4512246954956065       
