#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6754.977581893317    All      1.0195973784949732         -0.1635761617560405        0.14593508404253216       -0.3788861347678133        
Zeropoint     AB|PS|PS_z                7763.117502229815    All      0.4692177279911959         -0.09393011042213573       0.1377628352206101        -0.1772880553707192        
Zeropoint     AB|PS|PS_g                4391.588107274396    All      -0.8443658066648742        0.8135922196892409         0.09147374570011814       0.5441335275293262         
Zeropoint     AB|PS|PS_r                5577.018769253648    All      0.35194721036897886        0.4429141961194816         -0.3754864115344186       0.012874705983806946       
Check         All|All|All               All                  All      0.9963965101902736         0.9990001436305462         -0.0003147465711582087    0.000834043374600614       
Lambda        AB|PS|PS_i                6754.977581893317    All      -0.0006866077245413969     6.371486564780274e-05      -0.0007638297537589292    0.00021031853873753302     
Lambda        AB|PS|PS_z                7763.117502229815    All      -0.00023385757425244108    6.688040872171797e-05      0.00015066958926366678    0.00010468394680888646     
Lambda        AB|PS|PS_g                4391.588107274396    All      -0.00029823271427507496    0.0001781649843936102      -0.00036981771471271      0.00013867513737884167     
Lambda        AB|PS|PS_r                5577.018769253648    All      -5.286366617619309e-05     -3.3814357963042534e-05    -0.0005850644159166644    -1.9903751390043155e-05    
MWEBV         All|All|All               All                  All      -0.5758927057819228        -3.624928387108106         0.023758277525799176      -0.9921110088941854        
Redshift      All|All|All               All                  All      4.012767916286303          0.8298463621960295         -1.1473021645821913       -1.0879810914130403        
