#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7152.2911374453115    All      0.7788622395280135         -0.14152971530521086      0.2313896051587383        -0.2894760843408721       
Zeropoint     AB|PS|PS_g                4046.0442199859735    All      -0.7733401774782955        0.41214320792430925       -0.7591299544018881       0.3522744565633701        
Zeropoint     AB|PS|PS_r                5138.201489960933     All      0.20896930480729836        0.7472968404581337        1.1411407713893762        0.2262748603684625        
Zeropoint     AB|PS|PS_i                6223.4748190710925    All      0.7787209277738507         -0.018908331352385233     -0.6194393504367568       -0.28745682414855755      
Check         All|All|All               All                   All      0.9932122946308671         0.9990020017248469        -0.006038928290530432     0.0016164084424029612     
Lambda        AB|PS|PS_z                7152.2911374453115    All      -0.00027976285474759613    -0.0001900462470172609    -0.0015162403127157308    -3.843919059013679e-05    
Lambda        AB|PS|PS_g                4046.0442199859735    All      -0.000669363041593884      0.00035553424198275384    -0.0006485565666203682    0.0003049006625243151     
Lambda        AB|PS|PS_r                5138.201489960933     All      -4.492809893483893e-05     -9.366639731928183e-05    -0.0013953009598176055    -7.814154067734686e-05    
Lambda        AB|PS|PS_i                6223.4748190710925    All      -4.243286391740261e-05     -9.396554455838164e-05    -0.0005402647589160812    -4.089542430374012e-05    
MWEBV         All|All|All               All                   All      -0.4857185753391029        -3.229417214866004        0.018010016231717607      -0.8929092075906044       
Redshift      All|All|All               All                   All      6.534315801022605          0.7796936349651062        5.31854278765711          -1.637127623501132        
