#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7152.2911374453115    All      0.861763414968581         -0.228316173418186         0.0006177201145934094     -0.3550472184791752        
Zeropoint     AB|PS|PS_g                4046.0442199859735    All      -0.7173492253596013       0.41067507829968264        -0.6535837996320231       0.338268183423354          
Zeropoint     AB|PS|PS_r                5138.201489960933     All      0.12032907764020473       0.8182412964796271         1.3097685272382795        0.2857819241273833         
Zeropoint     AB|PS|PS_i                6223.4748190710925    All      0.727794181284999         -0.0016178889200801905     -0.6651010558824484       -0.26727391363549663       
Check         All|All|All               All                   All      0.9925374485341835        0.9989823124410435         -0.008298608161598553     0.001728975436065483       
Lambda        AB|PS|PS_z                7152.2911374453115    All      -0.0003003033898126502    -0.00018438044839013838    -0.001480155454847174     -2.8292624068909132e-05    
Lambda        AB|PS|PS_g                4046.0442199859735    All      -0.0006834465613648592    0.0003852133158049481      -0.0006450377967476673    0.0003193126055424681      
Lambda        AB|PS|PS_r                5138.201489960933     All      -4.20711613762499e-05     -2.538070772209703e-05     -0.0012679331452744539    -5.114540301252356e-05     
Lambda        AB|PS|PS_i                6223.4748190710925    All      7.495056109189447e-05     -9.456507772294273e-05     -0.0004365200854863382    -7.469670701187803e-05     
MWEBV         All|All|All               All                   All      -0.48173089527541046      -3.232040980103079         0.024739752562050254      -0.8947624556112924        
Redshift      All|All|All               All                   All      6.596764144293781         0.6841043384568479         6.536861182058315         -1.6342377276530762        
