#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_z            7676.805606877291     All      0.1316589214919735         0.005964976146977108       0.1732142181820959        -0.033212898193501386    
Zeropoint     AB|SDSS|SDSS_r            5324.573067545339     All      0.6965637861836411         0.38789050614465026        -0.3446112337567486       -0.11592345897839268     
Zeropoint     AB|SDSS|SDSS_g            4074.8211233600446    All      -0.7540377238228185        0.5133727744681238         -0.4119684429687964       0.39445303635316525      
Zeropoint     AB|SDSS|SDSS_u            3098.8466556089143    All      -0.08829712854152327       0.06459919550376725        0.1787148473234593        0.05777858570964314      
Zeropoint     AB|SDSS|SDSS_i            6456.975484990681     All      1.00743551415146           0.029147580729826927       0.41468782269745863       -0.30015495169774636     
Check         All|All|All               All                   All      0.9933233694627329         1.0009750329933453         0.010037211477468833      0.002940313193167954     
Lambda        AB|SDSS|SDSS_z            7676.805606877291     All      -6.2469762281123075e-06    1.0146875157996742e-06     1.9684237943255277e-06    2.453204496330482e-06    
Lambda        AB|SDSS|SDSS_r            5324.573067545339     All      0.000173881172075186       8.805031462644242e-05      -0.000943786769608278     -7.00748028941621e-05    
Lambda        AB|SDSS|SDSS_g            4074.8211233600446    All      -0.0006670995190723346     0.0002869731420265542      -0.0013278261522667852    0.0002515180710874069    
Lambda        AB|SDSS|SDSS_u            3098.8466556089143    All      -6.689555497467313e-05     5.0205756429275396e-05     0.00014319133994263056    4.453372149058271e-05    
Lambda        AB|SDSS|SDSS_i            6456.975484990681     All      -0.00024069344966489055    -3.9054594660262495e-05    -0.0004028356584528953    4.770370351680177e-05    
MWEBV         All|All|All               All                   All      -0.7519451374556558        -3.2807572862569856        0.3755386906635901        -0.806958745335641       
Redshift      All|All|All               All                   All      6.101853267184225          -0.278490213021243         4.9452127021506005        -1.857605648211999       
