#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3073.711270992881    All      -0.11335306812412994      0.043032784765451026       0.08438544948443948        0.05470575227001603       
Zeropoint     AB|SDSS|SDSS_r            5281.384356762673    All      0.9959019288516315        0.34868697646963653        0.02275166445246693        -0.20980390044039315      
Zeropoint     AB|SDSS|SDSS_i            6404.601624548836    All      0.8373404719575435        0.04747049203146503        0.16022283009620267        -0.2501366293820517       
Zeropoint     AB|SDSS|SDSS_z            7614.537452626378    All      0.08530466995400912       0.0026517220964805688      0.06692390438335212        -0.023936277836159387     
Zeropoint     AB|SDSS|SDSS_g            4041.769408460952    All      -0.8137235353501562       0.5584062573380066         -0.32869205319018746       0.43227979850198933       
Check         All|All|All               All                  All      0.991470467288898         1.0002482327010398         0.0055917952262737325      0.0031087431134010912     
Lambda        AB|SDSS|SDSS_u            3073.711270992881    All      -9.757702343571896e-05    3.802544695232657e-05      8.100757653840085e-05      4.7785181880718715e-05    
Lambda        AB|SDSS|SDSS_r            5281.384356762673    All      0.00029677003013161586    7.799096388360686e-05      -0.0006368677103012609     -9.968402037761621e-05    
Lambda        AB|SDSS|SDSS_i            6404.601624548836    All      -0.0002529352540140986    -2.5423190030023432e-05    -0.0002961618891877147     6.089181927210366e-05     
Lambda        AB|SDSS|SDSS_z            7614.537452626378    All      -4.027913429976771e-06    -1.5062625466185623e-07    -2.7990865471404745e-06    1.1380496150998923e-06    
Lambda        AB|SDSS|SDSS_g            4041.769408460952    All      -0.0006800747796622706    0.00031794592617339875     -0.0012248433327815386     0.0002704290453565468     
MWEBV         All|All|All               All                  All      -0.7955331241709525       -3.2759207482824237        0.2159228212671312         -0.798308207686604        
Redshift      All|All|All               All                  All      5.255205214776687         -0.47060589024408017       -0.42232139737953306       -1.883931314808392        
