#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3073.711270992881    All      -0.09502208272177877       0.033031731249622          0.04614471730032266        0.04377056685392344       
Zeropoint     AB|SDSS|SDSS_r            5281.384356762673    All      1.0199857546997035         0.37355217427652576        0.2537595398017456         -0.19924056139098978      
Zeropoint     AB|SDSS|SDSS_i            6404.601624548836    All      0.6889977277859918         0.06806984455618448        0.20045612623997844        -0.19331120323613366      
Zeropoint     AB|SDSS|SDSS_z            7614.537452626378    All      0.06678491799688327        0.003045511019905689       0.03896098769893275        -0.01902337187694586      
Zeropoint     AB|SDSS|SDSS_g            4041.769408460952    All      -0.686303502833858         0.5187697707006222         -0.5780711521030102        0.3667353503896964        
Check         All|All|All               All                  All      0.9944428149269418         0.9964690318028602         -0.03874978106203075       -0.00106921926044945      
Lambda        AB|SDSS|SDSS_u            3073.711270992881    All      -8.780023537824244e-05     4.107706104280953e-05      0.00012155861661711258     4.740417814253955e-05     
Lambda        AB|SDSS|SDSS_r            5281.384356762673    All      0.0002334885930653548      6.355047498456802e-05      -0.0008098305899615243     -9.149345566954908e-05    
Lambda        AB|SDSS|SDSS_i            6404.601624548836    All      -0.00015817253736828988    -2.133783671971679e-05     -9.891645139668182e-05     4.0157376810171886e-05    
Lambda        AB|SDSS|SDSS_z            7614.537452626378    All      -6.809779663986498e-06     -1.8575259051863996e-06    -2.6886436622027565e-05    4.1329379204635876e-07    
Lambda        AB|SDSS|SDSS_g            4041.769408460952    All      -0.0005470908573851665     0.0002473271605653439      -0.0012483412790056012     0.0002030603461650629     
MWEBV         All|All|All               All                  All      -0.9231106656778088        -3.2410619479263048        0.22327844509399952        -0.7450690994366834       
Redshift      All|All|All               All                  All      4.776987883984445          -0.08421706957459918       -0.4611727873828242        -1.6040344056776845       
