#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6291.654888499895     All      0.9470289134059673        -0.035555091568895136      0.8888167370480815        -0.28039612768706035       
Zeropoint     AB|PS|PS_g                3559.1831214038216    All      -0.5484976786030129       0.2058124646517001         -0.573757013356957        0.22009948938918888        
Zeropoint     AB|PS|PS_r                4519.920945773627     All      -0.41052117389511766      0.5892527982107154         1.2504271843575943        0.3814600965351217         
Zeropoint     AB|PS|PS_i                5474.6031748996365    All      1.0055207351022315        0.23931671847243763        -1.5685368797573318       -0.31957445249398975       
Check         All|All|All               All                   All      0.9935307960100683        0.998826889765958          -0.0030499717086129863    0.0015890057432604854      
Lambda        AB|PS|PS_z                6291.654888499895     All      0.0006395311934516816     -3.570954290434949e-05     0.00021213077700426834    -0.00021048170029525938    
Lambda        AB|PS|PS_g                3559.1831214038216    All      -0.0012061862135702374    0.00042989967044876614     -0.001470400155430743     0.0004673097924185641      
Lambda        AB|PS|PS_r                4519.920945773627     All      -5.751303647303068e-06    -0.00010874494666430767    -0.0006736231516086997    -6.360912533791415e-05     
Lambda        AB|PS|PS_i                5474.6031748996365    All      -5.410125659699894e-06    -3.946238829054085e-05     -0.0027390313729268386    -0.00013332233248267684    
MWEBV         All|All|All               All                   All      -0.4161536448584249       -2.657539322600222         -0.03408213580726738      -0.7316139838265123        
Redshift      All|All|All               All                   All      2.6692789522886624        -0.5591952333389827        0.3776588445926876        -1.034767076194934         
