#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5815.769056922663    All      0.9729377776668877         0.23912526448661708        -0.4340616271133199       -0.25839705410253927       
Zeropoint     AB|SDSS|SDSS_z            8384.996869818462    All      0.20468788573730695        -0.019022766725829143      0.12563433394365842       -0.06726343606281919       
Zeropoint     AB|SDSS|SDSS_g            4450.726527950009    All      -0.5876964804976724        0.6775405943698409         -0.008804882248943581     0.4117364188923153         
Zeropoint     AB|SDSS|SDSS_i            7052.636474426078    All      0.6051318389018848         -0.02732052316440914       0.27721191638792964       -0.1936398467495595        
Zeropoint     AB|SDSS|SDSS_u            3384.717659653967    All      -0.20151330477960652       0.12987194853106843        0.042141237034846166      0.10982364911545567        
Check         All|All|All               All                  All      0.9935477170288007         1.0001945174972882         0.002120978004170701      0.002259731092853018       
Lambda        AB|SDSS|SDSS_r            5815.769056922663    All      -0.00022849883659094018    -3.201157446715639e-05     -6.17766639736259e-05     6.124555672944529e-05      
Lambda        AB|SDSS|SDSS_z            8384.996869818462    All      3.6554605402164474e-06     -1.5849363981099184e-06    3.3718011415653753e-06    -1.5565016879257034e-06    
Lambda        AB|SDSS|SDSS_g            4450.726527950009    All      -0.00030555452936053304    7.177264870017545e-05      -0.0011171064270888548    7.305654643307342e-05      
Lambda        AB|SDSS|SDSS_i            7052.636474426078    All      -0.0004672561594047986     -2.197401066594347e-05     -0.0010701153045870992    9.728871400990964e-05      
Lambda        AB|SDSS|SDSS_u            3384.717659653967    All      -0.00014427880377583524    8.474566151603973e-05      8.38050334866915e-05      7.834063676858362e-05      
MWEBV         All|All|All               All                  All      -0.8942191690710866        -3.713651098319204         0.06485512224979272       -0.9154875496742331        
Redshift      All|All|All               All                  All      7.111296796234896          0.5537749893806065         5.548800867670976         -1.8883830905483276        
