#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5815.769056922663    All      0.9523664473006732         0.23329186700244975        -0.5323420659276712       -0.2579822290978223       
Zeropoint     AB|SDSS|SDSS_z            8384.996869818462    All      0.2102334657371973         -0.023216305978124296      0.1407516901009931        -0.06976116943696598      
Zeropoint     AB|SDSS|SDSS_g            4450.726527950009    All      -0.6627156190712618        0.7209025047917095         -0.03536928455568633      0.44911157390190304       
Zeropoint     AB|SDSS|SDSS_i            7052.636474426078    All      0.6546089529094836         -0.03607185712137806       0.41607242965867597       -0.2064100609666525       
Zeropoint     AB|SDSS|SDSS_u            3384.717659653967    All      -0.16093362970268626       0.10544596734174405        0.01199246741088178       0.08730376712694499       
Check         All|All|All               All                  All      0.9935596171734061         1.000352176036401          0.0011052366871933117     0.00226188152740725       
Lambda        AB|SDSS|SDSS_r            5815.769056922663    All      -0.00013931623302211512    -3.713140749313263e-06     1.6641017978713725e-05    4.4913000565435064e-05    
Lambda        AB|SDSS|SDSS_z            8384.996869818462    All      -4.612355258202621e-06     -4.3451180707760657e-07    -7.023995686347456e-06    1.0474123915620236e-06    
Lambda        AB|SDSS|SDSS_g            4450.726527950009    All      -0.0003958574563114177     0.0001697582787266987      -0.0010463489259489008    0.00013754590624857232    
Lambda        AB|SDSS|SDSS_i            7052.636474426078    All      -0.00047606371853812514    -8.560537173868502e-06     -0.0010192025060905467    0.00010679883974913739    
Lambda        AB|SDSS|SDSS_u            3384.717659653967    All      -0.00015264184269465257    9.284345211315526e-05      8.13527747455444e-06      8.032567681492568e-05     
MWEBV         All|All|All               All                  All      -0.8546224345217297        -3.7352976860258735        0.04932840092986002       -0.9361294008393334       
Redshift      All|All|All               All                  All      6.9459331200420165         -0.1606211081863762        5.866417650500733         -2.0530472345634503       
