#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7578.683468466501     All      0.10913877754037415        -0.017599165841986064      0.26577272636189586        -0.029422501586573446     
Zeropoint     AB|SDSS|SDSS_g            4022.7382411378667    All      -0.8790560635730369        0.6433467447745755         0.36323893032135235        0.5121063654076996        
Zeropoint     AB|SDSS|SDSS_u            3059.2383242239075    All      -0.03003846761760748       0.015114519472447796       0.25329607854165936        0.026011254022886843      
Zeropoint     AB|SDSS|SDSS_r            5256.516310312356     All      0.6317779753177699         0.4868005597487013         -1.55357283214147          -0.11655273406268735      
Zeropoint     AB|SDSS|SDSS_i            6374.444771735972     All      1.1677835149051439         -0.13238865584117576       0.7171875650990367         -0.39150406329894194      
Check         All|All|All               All                   All      0.9996057365726438         0.9952740023125628         0.04592246818247436        0.0006383204823837141     
Lambda        AB|SDSS|SDSS_z            7578.683468466501     All      -8.289101529298042e-06     -1.4301897868241655e-06    -3.0282177365650462e-05    8.828187111986195e-07     
Lambda        AB|SDSS|SDSS_g            4022.7382411378667    All      -0.0007261438979468268     0.0003938580892460989      0.0008409663994014013      0.0004023499621859667     
Lambda        AB|SDSS|SDSS_u            3059.2383242239075    All      -4.008700815158735e-05     1.9744332912976747e-05     0.00011905807773927468     2.4802051372913594e-05    
Lambda        AB|SDSS|SDSS_r            5256.516310312356     All      -0.00013049343052004954    0.00021709646656257374     -0.0038828885739079586     -6.005401874357233e-05    
Lambda        AB|SDSS|SDSS_i            6374.444771735972     All      -0.0004195134112349467     2.8238181474541093e-05     -0.0012514868330936138     8.999931484549273e-05     
MWEBV         All|All|All               All                   All      -0.6387184927884837        -3.310907617168546         0.002576358754635688       -0.870304939163087        
Redshift      All|All|All               All                   All      7.597351857977312          -1.67424988181466          7.330178813138299          -2.6929534991504966       
