#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7578.683468466501     All      0.10965419818950779       -0.013408935553016477     0.2382173796553939        -0.029455163755614105     
Zeropoint     AB|SDSS|SDSS_g            4022.7382411378667    All      -0.8941306227651844       0.5570280252062076        -0.16834622944338115      0.4651775943119378        
Zeropoint     AB|SDSS|SDSS_u            3059.2383242239075    All      -0.055539388759166114     0.023500504311080306      0.127420956917006         0.0314321055921421        
Zeropoint     AB|SDSS|SDSS_r            5256.516310312356     All      0.7964890840851169        0.4611875064092885        -0.6469959582155206       -0.13809121301347058      
Zeropoint     AB|SDSS|SDSS_i            6374.444771735972     All      1.0378169893914617        -0.029543061974379725     0.4643025356371311        -0.326954594131451        
Check         All|All|All               All                   All      0.9942902601417358        0.9987640383991803        0.014598684550629293      0.0021087290035441963     
Lambda        AB|SDSS|SDSS_z            7578.683468466501     All      -9.434246524553353e-06    1.3031057405053707e-06    -3.669482097258593e-05    1.8599875543369547e-06    
Lambda        AB|SDSS|SDSS_g            4022.7382411378667    All      -0.000790835746395008     0.0003884480689389496     -0.0006009786407850499    0.00035731261939622337    
Lambda        AB|SDSS|SDSS_u            3059.2383242239075    All      -5.044625219629576e-05    2.2205489704339987e-05    0.00016020436174355915    3.081424738094572e-05     
Lambda        AB|SDSS|SDSS_r            5256.516310312356     All      0.0001008365363796486     0.0001423965488912415     -0.0022206325390168057    -8.555916786114317e-05    
Lambda        AB|SDSS|SDSS_i            6374.444771735972     All      -0.0004186955495586555    1.701629774234544e-05     -0.0009714276961385615    9.857532668730229e-05     
MWEBV         All|All|All               All                   All      -0.687789705836324        -3.29034053232391         0.2937408748709867        -0.8346281194235378       
Redshift      All|All|All               All                   All      7.22020604961796          -1.2680196586085657       6.275679922483726         -2.4848395957153926       
