#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7001.880373858718     All      0.4526302267259453         -0.0177310507499584        0.42367637473244013        -0.13430541177119198      
Zeropoint     AB|PS|PS_r                5030.146491259797     All      -0.16819358069498558       0.5432647096968779         0.025246279063362298       0.23287199694577987       
Zeropoint     AB|PS|PS_i                6092.5968134488585    All      1.455135780275089          -0.02378321892742008       -0.26435060788230214       -0.49352932654149334      
Zeropoint     AB|PS|PS_g                3960.9569956352893    All      -0.7439322606222001        0.4976475817027648         -0.18408978267594467       0.39620831990174604       
Check         All|All|All               All                   All      0.9956401656838487         0.9993980217222642         0.0004822632375556246      0.0012455785348405857     
Lambda        AB|PS|PS_z                7001.880373858718     All      -0.0002786426047735037     -2.9204572032450132e-05    -0.0005513106871580676     5.664770964182354e-05     
Lambda        AB|PS|PS_r                5030.146491259797     All      -0.00022165066644120213    -8.784216239936998e-05     -0.0015326518085575997     -2.480937906532867e-05    
Lambda        AB|PS|PS_i                6092.5968134488585    All      -0.0002739568551848467     -0.00013183686814977625    -0.0012475338327415965     -9.378549853592258e-06    
Lambda        AB|PS|PS_g                3960.9569956352893    All      -0.0005827574956252988     0.00038424499303731894     -0.00012665580098811146    0.00030933245730529205    
MWEBV         All|All|All               All                   All      -0.5179431412152229        -3.115286510336901         0.0253202150391596         -0.8449102604759978       
Redshift      All|All|All               All                   All      6.614681484112517          0.20116563667684773        3.622887506366179          -1.9274202798252453       
