#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5336.628760563275     All      0.6716114354894726         0.20095964403199496        -0.09372069516271087       -0.15748909664324723       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4771.75732107807      All      -0.23094622709361312       0.44523775107805363        0.09414297873513           0.22445653624051454        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7552.103860902745     All      0.3328310297245413         -0.04246522251216689       0.1444892459716243         -0.11579844480084552       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4368.1158061252745    All      -0.5240647409091379        0.3336602816861767         -0.10829591238201312       0.27455650898989536        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3569.729659524838     All      -0.3070923713467512        0.11920328667409663        -0.048249204417743226      0.13670538013538014        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6176.816402762386     All      1.0519157001441328         -0.058441933626562914      0.012965377682100305       -0.36110142574210036       
Check         All|All|All                              All                   All      0.9942548260086446         0.9981538073315921         0.0013317904263873883      0.001329458179596954       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5336.628760563275     All      0.0002035192879896465      3.2258666938482965e-05     -0.0010761991838342715     -0.00010381104535389536    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4771.75732107807      All      -0.00012338164554411056    -8.931901006281907e-05     -0.0008327654682723668     -2.6067177091864098e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7552.103860902745     All      -6.27522302612903e-05      3.292115760182182e-06      -0.00012711772969672998    1.5840135847889406e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4368.1158061252745    All      -0.0003957168496605878     0.00013526797133134026     -0.0006305311705352972     0.00014482151486273367     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3569.729659524838     All      -0.0005077936672175985     0.00013671577375159143     -0.0002734383510768091     0.00019773563090282317     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6176.816402762386     All      -0.00014460308004102555    -1.5944796222424326e-05    -0.00029276713881558363    2.884338299702485e-05      
MWEBV         All|All|All                              All                   All      -1.0687218390417814        -3.9984177838850776        0.006738015473366882       -0.9539976666851613        
Redshift      All|All|All                              All                   All      6.828636351710125          0.32776306781032716        9.323628232559344          -1.7014775948010321        
