#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5452.848412918084    All      0.9666126192902889        0.3249711499996977         -0.1220561710623           -0.2144505422560672        
Zeropoint     AB|SDSS|SDSS_z            7861.74905268779     All      0.10815997731860358       0.0025387540325993996      0.14349103926460757        -0.028000961207411385      
Zeropoint     AB|SDSS|SDSS_i            6612.531761502137    All      0.8567950582730787        -0.00048279158342268147    0.34188423869002027        -0.26398687594656955       
Zeropoint     AB|SDSS|SDSS_u            3173.501584738972    All      -0.09460487343813843      0.06517917702204556        0.22291982941989585        0.06199481012726702        
Zeropoint     AB|SDSS|SDSS_g            4172.988446880714    All      -0.8433896077106919       0.6086918554677467         -0.5743715215822005        0.44735914160315216        
Check         All|All|All               All                  All      0.9935731737331407        1.0008981449386667         0.011867414730023174       0.002915572320371096       
Lambda        AB|SDSS|SDSS_r            5452.848412918084    All      0.0002552368538176418     7.669698687778819e-05      9.757879924439932e-05      -5.380181480240095e-05     
Lambda        AB|SDSS|SDSS_z            7861.74905268779     All      1.0709814069369029e-05    4.843804468767659e-07      2.7252041717620883e-05     -2.1146266798626064e-06    
Lambda        AB|SDSS|SDSS_i            6612.531761502137    All      -0.0003354963676493983    2.5794811360162793e-06     -0.00021205861627886393    0.00010065922421993819     
Lambda        AB|SDSS|SDSS_u            3173.501584738972    All      -7.060366674416102e-05    4.9025256863687105e-05     0.00017056408944986578     4.657856803338103e-05      
Lambda        AB|SDSS|SDSS_g            4172.988446880714    All      -0.000749467288383959     0.00030575734369280174     -0.0018843006971365028     0.0002596336926935049      
MWEBV         All|All|All               All                  All      -0.7715371119395766       -3.4148119963084866        0.394052615206179          -0.8434168326011933        
Redshift      All|All|All               All                  All      3.0515373835115005        -0.5056240229775355        -1.4237952933340647        -1.2222219419139424        
