#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5452.848412918084    All      0.9303456065715462        0.29269390381596594       -0.32045202549412233      -0.222004439820285         
Zeropoint     AB|SDSS|SDSS_z            7861.74905268779     All      0.11389936003988221       0.0003025718086746565     0.14756729913315003       -0.03041696034200847       
Zeropoint     AB|SDSS|SDSS_i            6612.531761502137    All      0.9350256130006565        -0.026548134091974873     0.30252407839220785       -0.2997159440888922        
Zeropoint     AB|SDSS|SDSS_u            3173.501584738972    All      -0.06570131222430992      0.046650321498376         0.16062691610179147       0.04376466489531966        
Zeropoint     AB|SDSS|SDSS_g            4172.988446880714    All      -0.9197690475464191       0.6872915729690732        -0.2986154751326797       0.510146677661992          
Check         All|All|All               All                  All      0.993800219841356         1.000390236000115         -0.008349206999652692     0.0017739983061259013      
Lambda        AB|SDSS|SDSS_r            5452.848412918084    All      0.0003372021310204978     0.00010108907984244976    0.00013453570760822695    -7.090607792694494e-05     
Lambda        AB|SDSS|SDSS_z            7861.74905268779     All      1.4765979976785255e-05    3.7942843170071677e-07    3.468240485606474e-05     -3.1384567035191103e-06    
Lambda        AB|SDSS|SDSS_i            6612.531761502137    All      -0.0003003794486704965    1.7500522264455524e-05    -9.859775489150783e-05    9.914399951622655e-05      
Lambda        AB|SDSS|SDSS_u            3173.501584738972    All      -6.474855845261816e-05    4.187621761230473e-05     0.00012853253286725024    4.046701402857856e-05      
Lambda        AB|SDSS|SDSS_g            4172.988446880714    All      -0.0009324295090565171    0.00046135125398545645    -0.0017529504003000076    0.00037577412319246664     
MWEBV         All|All|All               All                  All      -0.7048767250138974       -3.458565305779615        0.26462653251285717       -0.8851578976584548        
Redshift      All|All|All               All                  All      2.7067675362346852        -1.0419630216205178       -2.3106548107559797       -1.3241987840158869        
