#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5880.791651245433    All      0.7702707046817266         0.07505385124968456        -3.668308204710248        -0.3901547483639564       
Zeropoint     AB|PS|PS_z                6758.464560581781    All      1.0585131353047579         0.1530304231740942         4.495256708321761         -0.09434284791224185      
Zeropoint     AB|PS|PS_r                4855.276722898222    All      -0.10827015678137679       0.15261426849235704        -2.1117342253188247       -0.009258359477180844     
Zeropoint     AB|PS|PS_g                3823.256904093139    All      -0.7230170401073818        0.6182503065929268         1.3013380989357066        0.49496764373110763       
Check         All|All|All               All                  All      0.997496643097726          0.9989488495090626         0.016552377228394644      0.001211687977728526      
Lambda        AB|PS|PS_i                5880.791651245433    All      -6.0104733961726336e-05    5.602446851216703e-06      0.0013589813259360121     8.204808549386864e-05     
Lambda        AB|PS|PS_z                6758.464560581781    All      -0.0006370529562195429     -8.785599414965811e-05     -0.0022835178458372883    7.698860494794016e-05     
Lambda        AB|PS|PS_r                4855.276722898222    All      -5.209476377741174e-05     -5.4866868628150364e-05    -0.0010282192463409482    -4.678766827343601e-05    
Lambda        AB|PS|PS_g                3823.256904093139    All      -0.0008007207035103204     0.0006280274217959248      0.0004326549861256618     0.0004846976737477071     
MWEBV         All|All|All               All                  All      -0.4806883649437075        -2.940858984441874         0.22387306072479407       -0.7913680814914885       
Redshift      All|All|All               All                  All      5.751266231874176          1.066224203831645          25.40549092450608         -0.39234194507661163      
