#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5640.508502261053    All      0.4619161518746424         0.3743390862528173        -0.5767726490095347       -0.05426544577724151       
Zeropoint     AB|PS|PS_i                6831.877398962214    All      1.1292369105174331         -0.15663708263407017      0.4890455500690283        -0.3970276067726536        
Zeropoint     AB|PS|PS_g                4441.582695412864    All      -0.9156081078367986        0.8721543681993182        0.11504811005230145       0.5874671228382027         
Zeropoint     AB|PS|PS_z                7851.494156122203    All      0.3216539544932647         -0.09109696292455283      -0.025972913487332876     -0.1356056047444893        
Check         All|All|All               All                  All      0.9971989090485417         0.9987594088935126        0.0013480976244621204     0.0005684655438182862      
Lambda        AB|PS|PS_r                5640.508502261053    All      -0.00011726148263440807    -7.301422473147683e-05    -0.0007092130166303779    -1.7236132044114184e-05    
Lambda        AB|PS|PS_i                6831.877398962214    All      -0.000845287996590484      1.1677072371764586e-05    -0.0012607835654643918    0.0002228787363171423      
Lambda        AB|PS|PS_g                4441.582695412864    All      -0.00036895331717623817    0.00018726329244254562    -0.0005354271872062932    0.00015728439249886698     
Lambda        AB|PS|PS_z                7851.494156122203    All      -0.0003582087347746676     0.00010810470215309114    6.814180678326061e-05     0.00015493448353650342     
MWEBV         All|All|All               All                  All      -0.6133070736700326        -3.68240975170977         -0.0065638465876666115    -1.0000006270430775        
Redshift      All|All|All               All                  All      6.229236945761523          0.515714846929427         4.026125532479701         -1.6814146256945852        
