#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5640.508502261053    All      0.3270762830042604         0.3007973129319552        -1.0598266271288015        -0.055855119866107805     
Zeropoint     AB|PS|PS_i                6831.877398962214    All      1.3766485796695607         -0.13868008779649443      1.0098492148090887         -0.44852746743883065      
Zeropoint     AB|PS|PS_g                4441.582695412864    All      -0.8805000561457637        0.8752644273567256        0.02253366970808024        0.5729158293982073        
Zeropoint     AB|PS|PS_z                7851.494156122203    All      0.1613928314610394         -0.04421038659092602      -0.09248533648889001       -0.07109892806219653      
Check         All|All|All               All                  All      0.9846176379890968         0.9931712659012604        -0.11992907910052253       -0.0025656859689277       
Lambda        AB|PS|PS_r                5640.508502261053    All      -0.00010676700433626353    -7.721317554619501e-06    -0.00032168198215491836    1.7907249259420263e-05    
Lambda        AB|PS|PS_i                6831.877398962214    All      -0.0008656764112012089     8.001004832990596e-05     -0.0007947612108272344     0.00027257464939667227    
Lambda        AB|PS|PS_g                4441.582695412864    All      -0.000274797158932795      0.00024025652062683496    -0.00018184758939969212    0.00015965490547617983    
Lambda        AB|PS|PS_z                7851.494156122203    All      -0.00026754749407214954    6.036930238081046e-05     -7.973416050701718e-06     0.00010645747180912504    
MWEBV         All|All|All               All                  All      -0.6227198266382721        -3.6803836239982957       -0.028138812515488         -0.9972373989168226       
Redshift      All|All|All               All                  All      4.856328238793882          -0.37050192200815957      0.3278515336708754         -1.6879200327977628       
