#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6935.903416961455    All      1.1766785096220924         -0.07599740131389865      1.5637048532140887        -0.3382567902428863       
Zeropoint     AB|PS|PS_r                5726.39406558662     All      0.22223510214028133        0.27629090699079484       -1.9097540780939093       -0.0676157992991375       
Zeropoint     AB|PS|PS_g                4509.212738289266    All      -0.7936439536079316        0.9329359195131559        0.5070789428646376        0.5850324717568544        
Zeropoint     AB|PS|PS_z                7971.045433861726    All      0.39086608902220943        -0.13339209803895358      -0.15527453619324744      -0.1776973285080254       
Check         All|All|All               All                  All      0.9961357471766517         0.9998373271510985        0.005755181791569586      0.001462553706805203      
Lambda        AB|PS|PS_i                6935.903416961455    All      -0.0008502528466509905     4.133193759255251e-05     -0.0014248581834085969    0.000226833619907676      
Lambda        AB|PS|PS_r                5726.39406558662     All      -1.2184196562705014e-05    -8.279419921360207e-05    -0.0004011804311583133    -4.090284095100521e-05    
Lambda        AB|PS|PS_g                4509.212738289266    All      -0.00019133999932058153    -3.970656540072362e-05    -0.0018609565766173578    -3.365394693052773e-05    
Lambda        AB|PS|PS_z                7971.045433861726    All      -1.0450376020240982e-05    9.709895136175106e-06     8.568071351536264e-05     1.039040029577224e-05     
MWEBV         All|All|All               All                  All      -0.5979004598387534        -3.767114743246225        0.01805316346655583       -1.031511726388454        
Redshift      All|All|All               All                  All      5.6422889861895325         0.5426183742194723        6.4652973260756115        -1.3726139668722153       
