#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6935.903416961455    All      1.1965259386242257         -0.0835274507721806        1.552765059741054         -0.3476627284077792       
Zeropoint     AB|PS|PS_r                5726.39406558662     All      0.18384572174323904        0.21197242823722817        -2.489593589170294        -0.10193733394864533      
Zeropoint     AB|PS|PS_g                4509.212738289266    All      -0.8280639746037066        1.0672224722956258         1.2858245035599152        0.6747375908426844        
Zeropoint     AB|PS|PS_z                7971.045433861726    All      0.39734547741581777        -0.13066477057801507       -0.1563323273912287       -0.17896670255584077      
Check         All|All|All               All                  All      0.9496531631795759         1.0650026791826583         0.19266364673944647       0.046170825930419074      
Lambda        AB|PS|PS_i                6935.903416961455    All      -0.0008500291822044463     8.056035451274732e-05      -0.0013457171068538805    0.00024307045377140458    
Lambda        AB|PS|PS_r                5726.39406558662     All      3.283623324195064e-05      -0.00011773368078135065    -0.000634245430435986     -7.734903517688318e-05    
Lambda        AB|PS|PS_g                4509.212738289266    All      -0.0002749958927231496     6.157689402812128e-05      -0.0017042883609345136    3.357826752548615e-05     
Lambda        AB|PS|PS_z                7971.045433861726    All      -1.3440469715313147e-05    4.8797664470389776e-05     0.00026715450782716343    3.21948865661317e-05      
MWEBV         All|All|All               All                  All      -0.619387853261324         -3.7361876742144418        0.10471913628162244       -1.010571107258155        
Redshift      All|All|All               All                  All      5.309686222544904          0.3036576027586335         5.091204455176928         -1.4034311431358408       
