#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7592.877505952218     All      0.11349224844346605       -0.0002446262195476834     0.23222886220299216        -0.02668453437824228      
Zeropoint     AB|SDSS|SDSS_r            5266.361185067094     All      0.8216852259548993        0.326758974498631          0.19933326449313474        -0.15231843459957944      
Zeropoint     AB|SDSS|SDSS_g            4030.2723857722895    All      -0.9168291973075561       0.6057370845953258         -0.5110547450846427        0.47314390287501173       
Zeropoint     AB|SDSS|SDSS_i            6386.383403084955     All      1.0251266157056886        0.043054774648787486       -0.042878613128797455      -0.32180658340571544      
Zeropoint     AB|SDSS|SDSS_u            3064.9679398797734    All      -0.049496947829978946     0.024799271940878498       0.13746030494569694        0.03033494512977783       
Check         All|All|All               All                   All      0.993977944966519         1.0001054794640751         0.015089073428383754       0.002669295621252371      
Lambda        AB|SDSS|SDSS_z            7592.877505952218     All      -8.129624697991142e-06    -3.9980873352947393e-07    -3.5467859671555965e-05    9.350876838627039e-07     
Lambda        AB|SDSS|SDSS_r            5266.361185067094     All      1.6160848189427095e-05    5.221939422347427e-05      -0.0024276631707110152     -9.65900027209648e-05     
Lambda        AB|SDSS|SDSS_g            4030.2723857722895    All      -0.0007519849041982987    0.0003795925842968366      -0.0006171137594755418     0.00034105306301204764    
Lambda        AB|SDSS|SDSS_i            6386.383403084955     All      -0.0004310460376791374    -3.825064684933974e-05     -0.0010889532299750014     7.935140010528418e-05     
Lambda        AB|SDSS|SDSS_u            3064.9679398797734    All      -4.286619741873478e-05    2.2762184407053697e-05     0.00014383029107023046     2.7795808372120538e-05    
MWEBV         All|All|All               All                   All      -0.6789741820133042       -3.295380691462313         0.31217437849990853        -0.838318768597564        
Redshift      All|All|All               All                   All      7.142970071588604         -0.5052545617934001        5.584970332421246          -2.2420468071141024       
