#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7592.877505952218     All      0.08691859535193056       0.0009240906457819165      0.13679343755741424        -0.021906776469310385     
Zeropoint     AB|SDSS|SDSS_r            5266.361185067094     All      0.9035023753979907        0.34909258817883426        0.42761831222886126        -0.16150686594260666      
Zeropoint     AB|SDSS|SDSS_g            4030.2723857722895    All      -0.8707642209543585       0.5637173214676494         -0.7226833974144031        0.4350077905460048        
Zeropoint     AB|SDSS|SDSS_i            6386.383403084955     All      0.9757636266280848        0.04855324005141881        0.08363420646482211        -0.29829071670716134      
Zeropoint     AB|SDSS|SDSS_u            3064.9679398797734    All      -0.10130329655010956      0.03831343666114151        0.08962753999518513        0.04947742872657701       
Check         All|All|All               All                   All      0.994117079873538         1.000600677004826          0.014990098831879628       0.0027808601535034283     
Lambda        AB|SDSS|SDSS_z            7592.877505952218     All      -7.189073524202068e-06    -1.9659094121185749e-07    -2.4181649282004458e-05    1.1985656779659934e-06    
Lambda        AB|SDSS|SDSS_r            5266.361185067094     All      8.581514554217645e-05     6.023745212230269e-05      -0.0018675519400506073     -9.167176195661466e-05    
Lambda        AB|SDSS|SDSS_g            4030.2723857722895    All      -0.0006324173612869252    0.00031770409406461854     -0.0006858464882580456     0.00027887963728345       
Lambda        AB|SDSS|SDSS_i            6386.383403084955     All      -0.0002932526182937566    -2.5814865160992235e-05    -0.00046175554797085977    6.650724529666339e-05     
Lambda        AB|SDSS|SDSS_u            3064.9679398797734    All      -7.271398154292923e-05    2.284323272107745e-05      2.410965478801647e-05      3.2202031586307796e-05    
MWEBV         All|All|All               All                   All      -0.6977165475139091       -3.271290179239017         0.507508350345165          -0.8156498331360978       
Redshift      All|All|All               All                   All      6.572721924866234         -0.18050004302097022       3.8485940478699243         -2.0280014929410504       
