#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4836.844201055655     All      -0.14701485077988782       0.21800471216817385        -0.3280202217840473        0.1042608444832727        
Zeropoint     AB|PS|PS_z                6732.8067963090225    All      0.3894817752966989         -0.043054122847685505      0.08252564628018158        -0.13720843146710085      
Zeropoint     AB|PS|PS_i                5858.465875239311     All      1.505443535208315          0.27796360351768357        0.12414338370988064        -0.3942906475968658       
Zeropoint     AB|PS|PS_g                3808.7423315123256    All      -0.7502109020713669        0.5458245105133486         0.12090703563119122        0.42755689787172274       
Check         All|All|All               All                   All      0.9976995576537593         0.9987387033515205         -0.0004441561627938351     0.00031866329102880897    
Lambda        AB|PS|PS_r                4836.844201055655     All      -0.0001139414874586782     -1.7590351633187624e-05    -0.0007832009147149649     -3.565924915459162e-06    
Lambda        AB|PS|PS_z                6732.8067963090225    All      -0.000393338816448202      5.140145456193657e-05      -0.00015875876268762855    0.0001377818633621933     
Lambda        AB|PS|PS_i                5858.465875239311     All      -0.00021088902684162063    -3.2786646441667043e-06    0.0007231953328164642      9.98984113333256e-05      
Lambda        AB|PS|PS_g                3808.7423315123256    All      -0.001058063929439548      0.0007361787636205866      -7.807553643221236e-05     0.000580959721357955      
MWEBV         All|All|All               All                   All      -0.4927864196489016        -2.935813766539219         0.014234432763782938       -0.7951391627367035       
Redshift      All|All|All               All                   All      3.182150569033935          -0.6551606980909952        -0.16088982803147137       -1.2571182975782547       
