#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4836.844201055655     All      -0.11695746909661128       0.26560520951353084        -0.44267498323540266       0.10485869899247297       
Zeropoint     AB|PS|PS_z                6732.8067963090225    All      0.4866376959824683         -0.012544978397954765      0.23439754933534118        -0.15214013359005907      
Zeropoint     AB|PS|PS_i                5858.465875239311     All      1.3718720220437577         0.23398757139307946        0.18122476163489054        -0.36255917208687233      
Zeropoint     AB|PS|PS_g                3808.7423315123256    All      -0.7427949715617789        0.5116811794996678         0.03424944369339045        0.41015254881024144       
Check         All|All|All               All                   All      0.9987572773678357         0.9987289820083234         0.007196771428219506       0.0003119421257830046     
Lambda        AB|PS|PS_r                4836.844201055655     All      -0.00022732084788875255    -4.52299615097244e-05      -0.0013719013800072089     -1.908665368716445e-06    
Lambda        AB|PS|PS_z                6732.8067963090225    All      -0.00041481497974535066    3.57039042761106e-05       -0.00016061670943056923    0.00013958123610080563    
Lambda        AB|PS|PS_i                5858.465875239311     All      -0.0002816058624345244     -1.8277214278240267e-05    0.00035713267385602086     0.0001017119949428531     
Lambda        AB|PS|PS_g                3808.7423315123256    All      -0.000874554761857049      0.000566711189569523       -0.0001960030564365542     0.00046072102042174723    
MWEBV         All|All|All               All                   All      -0.4961125145469709        -2.931690476992621         0.007657992107246159       -0.7930061294876084       
Redshift      All|All|All               All                   All      5.196248109459868          0.6192046661801953         8.041613207428888          -1.1320333660787996       
