#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6211.78993360151      All      1.0276752068637969         -0.07202856420742698      0.0388415748795945         -0.3564763763233614        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7594.864357582139     All      0.2649269930589509         -0.03262030838615537      0.08114962039484919        -0.0932996102446293        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4392.8483581218115    All      -0.5069743607541303        0.35125906850761446       -0.10628356151294316       0.27481191574412756        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5366.217744424963     All      0.7006019265394698         0.17954663386170466       -0.01139968081725895       -0.1702335664331367        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4798.775317233971     All      -0.2044220264926364        0.4620049711018481        0.11513016860406067        0.2222149285645736         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3589.9416979268362    All      -0.2968163719512573        0.11262644480432016       -0.11748307869734465       0.12812626546385708        
Check         All|All|All                              All                   All      0.9849913672641937         1.000788245681905         -4.495714904240167e-05     0.005143556771430857       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6211.78993360151      All      -0.00010410499360341991    -3.12933227243212e-05     -0.00045940277957564214    3.216120546330858e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7594.864357582139     All      -6.958347634119927e-05     3.7009046335403644e-06    -7.082336029658298e-05     2.0710612577885264e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4392.8483581218115    All      -0.00037080642528110927    0.00014915052579463198    -0.0005991390858346004     0.00014263025938644983     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5366.217744424963     All      0.00019832760530079968     5.531595441792941e-06     -0.001074086703930871      -0.00011073155970603782    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4798.775317233971     All      -0.00016869432951588945    4.2872137785380604e-05    -0.0011585545097224591     1.721319200954175e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3589.9416979268362    All      -0.0006654759687600453     0.00022104618440730605    -0.00044933444891640504    0.00026871769826247683     
MWEBV         All|All|All                              All                   All      -1.0852018542243607        -4.023649239651084        -0.014919079837216742      -0.957814755493297         
Redshift      All|All|All                              All                   All      5.773550878132337          -0.5616355765273084       6.867372825096429          -1.7571193412447672        
