#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6211.78993360151      All      1.0482072674634966        -0.06507141859377619       0.030734180624121206       -0.361259968505462        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7594.864357582139     All      0.2952818944360931        -0.0341259954630857        0.07946496935214904        -0.10375283032506007      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4392.8483581218115    All      -0.5147746001720366       0.3373459740547258         -0.15096093594265916       0.27082701172723717       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5366.217744424963     All      0.7126353589655867        0.17567759636141211        0.0034194957210261865      -0.17475221227700133      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4798.775317233971     All      -0.21989723373178693      0.459124868865457          0.11868785607626424        0.22647633188263588       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3589.9416979268362    All      -0.32708318223711724      0.1251748370273642         -0.08074112861454563       0.143712209981853         
Check         All|All|All                              All                   All      0.9943695047242358        0.9981258622520972         0.0006044372163558909      0.0012505424842026713     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6211.78993360151      All      -0.000237922722882923     -1.0535351289509895e-05    -0.0003301469599346418     5.9334605238556096e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7594.864357582139     All      -8.003673293428987e-05    5.695487330372885e-06      -6.0195315813382324e-05    2.523956416880436e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4392.8483581218115    All      -0.000249206843900812     5.7458138171979654e-05     -0.0005984539039415373     7.318462450579839e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5366.217744424963     All      0.00012978270181690835    -3.276781606034607e-05     -0.0009987498326592254     -9.751766936533171e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4798.775317233971     All      -9.738328206104885e-05    -8.689891305621587e-05     -0.001107702389849229      -4.601656625554119e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3589.9416979268362    All      -0.0004967516076054602    0.0001327133259809089      -0.00042563674472827093    0.00018604322461192053    
MWEBV         All|All|All                              All                   All      -1.0945105659792365       -4.022479134027401         -0.014858123167066507      -0.9543987397140238       
Redshift      All|All|All                              All                   All      5.78501977578473          0.843812409039657          6.307875192397985          -1.3280223014288435       
