#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4283.616379325759     All      -0.5534235040373947       0.48963393879208894        -0.2968688332098661       0.32651023214323516       
Zeropoint     VEGAHST|UVOT|UVOT_u       3417.3968190697437    All      -0.6030016934186637       0.15008540166441264        0.024896544562787434      0.24641626113621445       
Zeropoint     VEGAHST|UVOT|UVOT_v       5321.997175031835     All      2.1423128387401387        0.3612119333500807         0.27442402495195806       -0.567916877515192        
Check         All|All|All               All                   All      0.9858876412840802        1.0009312738065823         0.0024517363048793817     0.005009615764257513      
Lambda        VEGAHST|UVOT|UVOT_b       4283.616379325759     All      -0.0004351119161059117    -3.2855582774561054e-05    -0.001984418522543936     4.247263704978222e-05     
Lambda        VEGAHST|UVOT|UVOT_u       3417.3968190697437    All      2.6309973950375476e-05    2.2017173600851237e-05     0.00010220469392778432    3.162619778039809e-06     
Lambda        VEGAHST|UVOT|UVOT_v       5321.997175031835     All      0.0008459824680900761     2.7214501642384462e-05     -0.002210889562549935     -0.0003653615102661345    
MWEBV         All|All|All               All                   All      -1.4954544912807695       -3.8635043501345834        0.03681321438718153       -0.7697089408738665       
Redshift      All|All|All               All                   All      -1.1598217855693345       -0.308739762146093         -2.0043186606083094       0.18778187847553843       
