#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3178.5818773998376    All      -0.12880236075612908       0.0613899854880362         0.14583956400051057       0.0684600542385131        
Zeropoint     AB|SDSS|SDSS_i            6623.117417655341     All      0.898709685829224          0.02993188516184908        0.7838347823040048        -0.24801056530675122      
Zeropoint     AB|SDSS|SDSS_z            7874.3345154479175    All      0.18092429721064607        0.008902078372674538       0.3803961807427314        -0.03905796158834441      
Zeropoint     AB|SDSS|SDSS_g            4179.668765769639     All      -0.9141343602614913        0.6203766091002594         -0.40390399149607403      0.4818163265559572        
Zeropoint     AB|SDSS|SDSS_r            5461.577592668987     All      0.818341519028845          0.2640705286002465         -0.8506112130768573       -0.21850316828017202      
Check         All|All|All               All                   All      0.8550387810510948         0.9846710867230657         0.055555322474315494      0.044704685619202655      
Lambda        AB|SDSS|SDSS_u            3178.5818773998376    All      -0.00015233237063860014    -1.5888262322607888e-05    0.00019086882165208555    5.296193383789185e-05     
Lambda        AB|SDSS|SDSS_i            6623.117417655341     All      -0.0006864770055073855     -7.787326286567278e-05     -0.0011171717416556762    0.00014838801760093975    
Lambda        AB|SDSS|SDSS_z            7874.3345154479175    All      -3.867487106268758e-05     -4.439562193528712e-06     0.0001447526047333207     1.7611210331473553e-05    
Lambda        AB|SDSS|SDSS_g            4179.668765769639     All      -0.000639691392188913      0.0001978514464820113      -0.000834436079865269     0.00023557820707797474    
Lambda        AB|SDSS|SDSS_r            5461.577592668987     All      -8.334128400022873e-05     -5.926465472429238e-05     -0.0023120025405931654    -9.533150449033464e-05    
MWEBV         All|All|All               All                   All      -0.951066227993203         -3.496742050817403         -0.07637660432426863      -0.8326187028067182       
Redshift      All|All|All               All                   All      5.057008431614003          0.9389398673866012         14.671606310311924        -0.686664006421716        
