#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3178.5818773998376    All      -0.11054930487387234       0.06397413721774825       0.07820777055800761        0.060338080344647445       
Zeropoint     AB|SDSS|SDSS_i            6623.117417655341     All      0.9572876683411112         -0.00625768851350017      0.44691178391168207        -0.29391480210381465       
Zeropoint     AB|SDSS|SDSS_z            7874.3345154479175    All      0.12778274702748255        -0.005421985576603561     0.09330728459425985        -0.03922528814810179       
Zeropoint     AB|SDSS|SDSS_g            4179.668765769639     All      -0.7110906323449069        0.6081045552834397        -0.09459248566966293       0.4254840446552452         
Zeropoint     AB|SDSS|SDSS_r            5461.577592668987     All      0.7283125848191242         0.34026084249365596       -0.5208832010969525        -0.1496458439334693        
Check         All|All|All               All                   All      0.9917430629689387         1.0006598609047401        0.002951152297334114       0.0030361908145069005      
Lambda        AB|SDSS|SDSS_u            3178.5818773998376    All      -7.262695684133732e-05     4.19255207800005e-05      5.3942876862741176e-05     3.972073346955484e-05      
Lambda        AB|SDSS|SDSS_i            6623.117417655341     All      -0.00034141198336970507    -6.637392865494109e-06    -0.00038083723341348204    9.205208127901106e-05      
Lambda        AB|SDSS|SDSS_z            7874.3345154479175    All      5.990531000329992e-06      -2.232783833560804e-07    1.4206260071069212e-05     -1.3900820045438407e-06    
Lambda        AB|SDSS|SDSS_g            4179.668765769639     All      -0.0006087355080796276     0.00034244419285142273    -0.0009259786267104        0.00026850834823183246     
Lambda        AB|SDSS|SDSS_r            5461.577592668987     All      0.00010798672121822999     2.0084514932292328e-05    -0.0012994698215580446     -8.662201037113674e-05     
MWEBV         All|All|All               All                   All      -0.7973934910081959        -3.425374844668383        0.15615442106772098        -0.849051530284661         
Redshift      All|All|All               All                   All      3.2089942291170748         -0.3049935674084736       1.8338426805948194         -1.0627854557928529        
