#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8269.134772096351    All      0.4275380469369503         -0.12157887329387052       0.014486429419714552       -0.17821898351801954       
Zeropoint     AB|PS|PS_g                4677.841590334911    All      -1.0286957205717044        1.093197526663925          0.04870939373034376        0.6933441153669988         
Zeropoint     AB|PS|PS_i                7195.282048883223    All      0.7472074641218087         -0.25620008328299804       0.3579289140786387         -0.31087012579023887       
Zeropoint     AB|PS|PS_r                5940.541260160371    All      0.8543799956892877         0.2817959500558409         -0.4148726254818565        -0.20502332095259324       
Check         All|All|All               All                  All      1.0004297861763427         0.9972145201428972         0.0062521117468405385      -0.0007683148938528728     
Lambda        AB|PS|PS_z                8269.134772096351    All      0.0005314375632065166      -0.00027486487209652996    0.0007891414851586877      -0.00022742346965352       
Lambda        AB|PS|PS_g                4677.841590334911    All      -0.0006594576972821446     0.0006835363572716443      -0.00029301256994883015    0.000424381541521433       
Lambda        AB|PS|PS_i                7195.282048883223    All      -2.4843902862574992e-05    -0.00022986241519303534    -0.0009055358884238664     -0.00010719118209919545    
Lambda        AB|PS|PS_r                5940.541260160371    All      -0.0001008217234598028     -0.0001112808469856665     -0.0011140586998907092     -5.312220371690258e-05     
MWEBV         All|All|All               All                  All      -0.6216137554883616        -3.9731822731435606        0.03871194535638039        -1.0899885932056597        
Redshift      All|All|All               All                  All      4.421163637752988          -0.6820071143751605        6.593084710648761          -1.3680515136056248        
