#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8269.134772096351    All      0.38702137640689094        -0.08927597258043818       0.06329158938993551        -0.15232130333580063      
Zeropoint     AB|PS|PS_g                4677.841590334911    All      -1.0161908564121458        1.1676413920804762         0.22833062416518501        0.7215353563528509        
Zeropoint     AB|PS|PS_i                7195.282048883223    All      0.9254729980020149         -0.24878290475234266       1.0619926962437187         -0.335101922921488        
Zeropoint     AB|PS|PS_r                5940.541260160371    All      0.7089555887433526         0.16099893065417703        -1.3543321423493238        -0.23892513406874039      
Check         All|All|All               All                  All      1.0052591067401129         0.9905814454018724         -0.0007172325504845034     -0.004813003973178076     
Lambda        AB|PS|PS_z                8269.134772096351    All      0.0006198298901326013      -0.00026164042795840726    0.0009610958736893173      -0.0002442345874252678    
Lambda        AB|PS|PS_g                4677.841590334911    All      -0.0006630022122545299     0.0007268364759621133      -0.00021927209479905365    0.00044293107857627784    
Lambda        AB|PS|PS_i                7195.282048883223    All      -0.0002908057530886935     -0.00010744105984555998    -0.0017506793490640615     -1.839686566079575e-05    
Lambda        AB|PS|PS_r                5940.541260160371    All      -0.00012883484894835316    -0.00015417681060894567    -0.001540217132172439      -7.698752728606407e-05    
MWEBV         All|All|All               All                  All      -0.6238032043618489        -3.9428819416363226        0.10716012782685524        -1.0763510748411058       
Redshift      All|All|All               All                  All      6.985543733076939          -1.0446153023591975        18.256859473448504         -1.800967194649411        
