#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5323.483059606129     All      0.6068277521071772         0.18371715681571033       -0.13351967402321918       -0.14377941062952704      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4357.3558401036835    All      -0.5510265160218357        0.3217393350404052        -0.30571639684353613       0.2706458321481031        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7533.500787050882     All      0.32204473819823565        -0.015641089284557097     0.09700460518258236        -0.10566651354162182      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6161.601070210504     All      1.0590718021951155         -0.003409387098418648     0.15013953163143245        -0.33938504021499283      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3560.93635560444      All      -0.3057963311859133        0.149071587802041         0.0429386239452656         0.15008159950112565       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4760.003066173454     All      -0.13684379667257296       0.36261249606734935       0.15060015045149644        0.16940993920253333       
Check         All|All|All                              All                   All      0.9942776486202064         0.9980900993425301        0.0014468403440215383      0.0013064064656204133     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5323.483059606129     All      0.0003111824766163108      -9.697371684899603e-06    -0.0007788633688632732     -0.0001392782181874524    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4357.3558401036835    All      -0.0004830379346722337     5.9894735190139994e-05    -0.0009500789775934352     0.00013445337131337887    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7533.500787050882     All      -4.1196648483224615e-05    -7.871146526773858e-06    -6.811997530589063e-05     7.815330729493075e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6161.601070210504     All      -7.777748766735409e-05     8.395254063797366e-06     5.5435550990494685e-05     3.0543131015260336e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3560.93635560444      All      -0.00017711222708209596    -4.13442808094781e-05     -0.00032711546584174354    2.962642588022769e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4760.003066173454     All      -0.00015200800986719351    4.214803747265991e-05     -0.0004851227774392946     4.159421069402934e-05     
MWEBV         All|All|All                              All                   All      -1.103081292009199         -3.939715876971661        0.08115347917989624        -0.9203636997768133       
Redshift      All|All|All                              All                   All      6.768119739805195          1.6171684043785106        8.53845631040926           -1.2968022217917319       
