#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5323.483059606129     All      0.6187567647890837         0.20601570976435113        -0.006876868244682148      -0.13475022344438242       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4357.3558401036835    All      -0.5271078600678998        0.34501386189447203        -0.12077904369679925       0.27868892279345614        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7533.500787050882     All      0.3205410635813617         -0.03558853749012769       0.06188023177454579        -0.11324169684637674       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6161.601070210504     All      1.1006819560589047         -0.05218463345171287       0.06740697637441052        -0.37251851262127805       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3560.93635560444      All      -0.3012674100936066        0.133519708473262          -0.020711085840861464      0.14070022795005555        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4760.003066173454     All      -0.21725056606271925       0.40163033277575977        0.02062502609273861        0.2025102695156952         
Check         All|All|All                              All                   All      0.9943539482051247         0.9984064419660044         0.0015452364593520618      0.0013889873471696623      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5323.483059606129     All      0.0003134746095956734      6.45083993899946e-06       -0.0007533624124198612     -0.00013362684695706676    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4357.3558401036835    All      -0.0004190271009326711     0.00013792197556317478     -0.0005645801297592004     0.0001562220191266565      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7533.500787050882     All      -5.3648730124235084e-05    -1.4934056534395151e-05    -0.00014343240359577624    6.209913451862733e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6161.601070210504     All      -6.823903660949803e-05     -2.2432842729756958e-05    -0.00022649417346009423    4.813189614237186e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3560.93635560444      All      -0.0005160633397141948     0.0001255779140096351      -0.00027629800762726955    0.00019667375461853226     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4760.003066173454     All      -0.00018512249819202493    7.673084304027015e-05      -0.0006390985623618766     5.677421439371921e-05      
MWEBV         All|All|All                              All                   All      -1.0658143950898875        -3.9728844054780943        0.009071554603795919       -0.9465235203281717        
Redshift      All|All|All                              All                   All      6.952706542082252          0.4148821148895365         6.20034499202632           -1.8528915841319575        
